あだ名,あだな
一新,いっしん
一望,いちぼう
一本立ち,いっぽんだち
一段落,いちだんらく
一泊,いっぱく
一番乗り,いちばんのり
一着,いっちゃく
一睡,いっすい
一礼,いちれい
一考,いっこう
一致,いっち
一苦労,ひとくろう
一見,いっけん
一言,ひとこと
一読,いちどく
一貫,いっかん
一蹴,いっしゅう
一躍,いちやく
一転,いってん
一進一退,いっしんいったい
一過,いっか
一顧,いっこ
万引き,まんびき
三振,さんしん
三省,さんせい
上がり,あが
上がる,あが
上がった,あが
上がら,あが
上がって,あが
上がろ,あが
上がれ,あが
上がら,あが
上げま,あ
上げる,あ
上げた,あ
上げな,あ
上げず,あ
上げて,あ
上げよ,あ
上げら,あ
上げさ,あ
上げろ,あ
上せま,のぼ
上せる,のぼ
上せた,のぼ
上せな,のぼ
上せず,のぼ
上せて,のぼ
上せよ,のぼ
上せら,のぼ
上せさ,のぼ
上せろ,のぼ
上り,のぼ
上る,のぼ
上った,のぼ
上ら,のぼ
上って,のぼ
上ろ,のぼ
上れ,のぼ
上ら,のぼ
上乗せ,うわのせ
上京,じょうきょう
上伸,じょうしん
上向き,うわむ
上向く,うわむ
上向い,うわむ
上向か,うわむ
上向おう,うわむ
上向け,うわむ
上向え,うわむ
上告,じょうこく
上回り,うわまわ
上回る,うわまわ
上回った,うわまわ
上回ら,うわまわ
上回って,うわまわ
上回ろ,うわまわ
上回れ,うわまわ
上回ら,うわまわ
上場,じょうじょう
上提,じょうてい
上昇,じょうしょう
上映,じょうえい
上気,じょうき
上滑り,うわすべり
上演,じょうえん
上申,じょうしん
上積み,うわづみ
上納,じょうのう
上達,じょうたつ
上陸,じょうりく
下がり,さが
下がる,さが
下がった,さが
下がら,さが
下がって,さが
下がろ,さが
下がれ,さが
下がら,さが
下げ,さげ
下げま,さ
下げる,さ
下げた,さ
下げな,さ
下げず,さ
下げて,さ
下げよ,さ
下げら,さ
下げさ,さ
下げろ,さ
下さり,くだ
下さる,くだ
下さった,くだ
下さら,くだ
下さって,くだ
下さろ,くだ
下され,くだ
下さら,くだ
下し,くだ
下す,くだ
下さ,くだ
下そ,くだ
下せ,くだ
下りま,おり
下りる,おり
下りた,おり
下りな,おり
下りず,おり
下りて,おり
下りよ,おり
下りら,おり
下りさ,おり
下りろ,おり
下り,くだ
下る,くだ
下った,くだ
下ら,くだ
下って,くだ
下ろ,くだ
下れ,くだ
下ら,くだ
下ろし,おろし
下ろし,おろ
下ろす,おろ
下ろさ,おろ
下ろそ,おろ
下ろせ,おろ
下取り,したどり
下回り,したまわ
下回る,したまわ
下回った,したまわ
下回ら,したまわ
下回って,したまわ
下回ろ,したまわ
下回れ,したまわ
下回ら,したまわ
下山,げざん
下座,げざ
下校,げこう
下準備,したじゅんび
下痢,げり
下落,げらく
下見,したみ
下調べ,したしらべ
下車,げしゃ
下降,かこう
不倫,ふりん
不時着,ふじちゃく
不足,ふそく
与えま,あた
与える,あた
与えた,あた
与えな,あた
与えず,あた
与えて,あた
与えよ,あた
与えら,あた
与えさ,あた
与えろ,あた
世襲,せしゅう
世話,せわ
両替,りょうがえ
両用,りょうよう
両立,りょうりつ
並び,なら
並ぶ,なら
並ん,なら
並ば,なら
並ぼ,なら
並べ,なら
並ば,なら
並べ,なら
並べま,なら
並べる,なら
並べた,なら
並べな,なら
並べず,なら
並べて,なら
並べよ,なら
並べら,なら
並べさ,なら
並べろ,なら
並列,へいれつ
並外れま,なみはず
並外れる,なみはず
並外れた,なみはず
並外れな,なみはず
並外れず,なみはず
並外れて,なみはず
並外れよ,なみはず
並外れら,なみはず
並外れさ,なみはず
並外れろ,なみはず
並立,へいりつ
並行,へいこう
中傷,ちゅうしょう
中座,ちゅうざ
中断,ちゅうだん
中止,ちゅうし
中略,ちゅうりゃく
中絶,ちゅうぜつ
中継,ちゅうけい
中興,ちゅうこう
中退,ちゅうたい
丸々,まるまる
丸まり,まるま
丸まる,まるま
丸まった,まるま
丸まら,まるま
丸まって,まるま
丸まろ,まるま
丸まれ,まるま
丸まら,まるま
丸めま,まる
丸める,まる
丸めた,まる
丸めな,まる
丸めず,まる
丸めて,まる
丸めよ,まる
丸めら,まる
丸めさ,まる
丸めろ,まる
丸洗い,まるあらい
丹精,たんせい
主催,しゅさい
主唱,しゅしょう
主宰,しゅさい
主導,しゅどう
主張,しゅちょう
主演,しゅえん
主管,しゅかん
乖離,かいり
乗せま,の
乗せる,の
乗せた,の
乗せな,の
乗せず,の
乗せて,の
乗せよ,の
乗せら,の
乗せさ,の
乗せろ,の
乗っかり,のっか
乗っかる,のっか
乗っかった,のっか
乗っから,のっか
乗っかって,のっか
乗っかろ,のっか
乗っかれ,のっか
乗っから,のっか
乗り,の
乗る,の
乗った,の
乗ら,の
乗って,の
乗ろ,の
乗れ,の
乗ら,の
乗務,じょうむ
乗船,じょうせん
乗車,じょうしゃ
乗降,じょうこう
乞い,こ
乞う,こ
乞った,こ
乞わ,こ
乞って,こ
乞お,こ
乞え,こ
乞わ,こ
乱し,みだ
乱す,みだ
乱さ,みだ
乱そ,みだ
乱せ,みだ
乱れま,みだ
乱れる,みだ
乱れた,みだ
乱れな,みだ
乱れず,みだ
乱れて,みだ
乱れよ,みだ
乱れら,みだ
乱れさ,みだ
乱れろ,みだ
乱伐,らんばつ
乱入,らんにゅう
乱売,らんばい
乱射,らんしゃ
乱打,らんだ
乱暴,らんぼう
乱獲,らんかく
乱用,らんよう
乱発,らんぱつ
乱立,らんりつ
乱舞,らんぶ
乱読,らんどく
乱闘,らんとう
乾かし,かわか
乾かす,かわか
乾かさ,かわか
乾かそ,かわか
乾かせ,かわか
乾き,かわ
乾く,かわ
乾い,かわ
乾か,かわ
乾おう,かわ
乾け,かわ
乾え,かわ
乾杯,かんぱい
乾燥,かんそう
了承,りょうしょう
了解,りょうかい
予告,よこく
予報,よほう
予定,よてい
予想,よそう
予感,よかん
予断,よだん
予期,よき
予測,よそく
予知,よち
予約,よやく
予習,よしゅう
予見,よけん
予言,よげん
予防,よぼう
争い,あらそ
争う,あらそ
争った,あらそ
争わ,あらそ
争って,あらそ
争お,あらそ
争え,あらそ
争わ,あらそ
争奪,そうだつ
事があり,ことあ
事がある,ことあ
事があった,ことあ
事があら,ことあ
事があって,ことあ
事があろ,ことあ
事があれ,ことあ
事があら,ことあ
事になり,ことにな
事になる,ことにな
事になった,ことにな
事になら,ことにな
事になって,ことにな
事になろ,ことにな
事になれ,ことにな
事になら,ことにな
事により,ことによ
事による,ことによ
事によった,ことによ
事によら,ことによ
事によって,ことによ
事によろ,ことによ
事によれ,ことによ
事によら,ことによ
二度寝,にどね
互選,ごせん
亡くし,な
亡くす,な
亡くさ,な
亡くそ,な
亡くせ,な
亡くなり,な
亡くなる,な
亡くなった,な
亡くなら,な
亡くなって,な
亡くなろ,な
亡くなれ,な
亡くなら,な
亡命,ぼうめい
亢進,こうしん
交い,か
交う,か
交った,か
交わ,か
交って,か
交お,か
交え,か
交わ,か
交えま,まじ
交える,まじ
交えた,まじ
交えな,まじ
交えず,まじ
交えて,まじ
交えよ,まじ
交えら,まじ
交えさ,まじ
交えろ,まじ
交わし,かわ
交わす,かわ
交わさ,かわ
交わそ,かわ
交わせ,かわ
交わり,まじわ
交わる,まじわ
交わった,まじわ
交わら,まじわ
交わって,まじわ
交わろ,まじわ
交われ,まじわ
交わら,まじわ
交付,こうふ
交代,こうたい
交信,こうしん
交尾,こうび
交差,こうさ
交戦,こうせん
交換,こうかん
交易,こうえき
交歓,こうかん
交流,こうりゅう
交渉,こうしょう
交遊,こうゆう
交配,こうはい
交錯,こうさく
交際,こうさい
交響,こうきょう
享受,きょうじゅ
人見知り,ひとみしり
人違い,ひとちがい
人選,じんせん
仄めかし,ほのめか
仄めかす,ほのめか
仄めかさ,ほのめか
仄めかそ,ほのめか
仄めかせ,ほのめか
介する,かいする
介入,かいにゅう
介助,かいじょ
介在,かいざい
介添え,かいぞえ
介護,かいご
仕えま,つか
仕える,つか
仕えた,つか
仕えな,つか
仕えず,つか
仕えて,つか
仕えよ,つか
仕えら,つか
仕えさ,つか
仕えろ,つか
仕上がり,しあが
仕上がる,しあが
仕上がった,しあが
仕上がら,しあが
仕上がって,しあが
仕上がろ,しあが
仕上がれ,しあが
仕上がら,しあが
仕上げま,しあ
仕上げる,しあ
仕上げた,しあ
仕上げな,しあ
仕上げず,しあ
仕上げて,しあ
仕上げよ,しあ
仕上げら,しあ
仕上げさ,しあ
仕上げろ,しあ
仕事,しごと
仕入れま,しい
仕入れる,しい
仕入れた,しい
仕入れな,しい
仕入れず,しい
仕入れて,しい
仕入れよ,しい
仕入れら,しい
仕入れさ,しい
仕入れろ,しい
仕分け,しわけ
仕切り,しき
仕切る,しき
仕切った,しき
仕切ら,しき
仕切って,しき
仕切ろ,しき
仕切れ,しき
仕切ら,しき
仕向けま,しむ
仕向ける,しむ
仕向けた,しむ
仕向けな,しむ
仕向けず,しむ
仕向けて,しむ
仕向けよ,しむ
仕向けら,しむ
仕向けさ,しむ
仕向けろ,しむ
仕掛けま,しか
仕掛ける,しか
仕掛けた,しか
仕掛けな,しか
仕掛けず,しか
仕掛けて,しか
仕掛けよ,しか
仕掛けら,しか
仕掛けさ,しか
仕掛けろ,しか
仕留めま,しと
仕留める,しと
仕留めた,しと
仕留めな,しと
仕留めず,しと
仕留めて,しと
仕留めよ,しと
仕留めら,しと
仕留めさ,しと
仕留めろ,しと
仕立てま,した
仕立てる,した
仕立てた,した
仕立てな,した
仕立てず,した
仕立てて,した
仕立てよ,した
仕立てら,した
仕立てさ,した
仕立てろ,した
仕組み,しく
仕組む,しく
仕組ん,しく
仕組ま,しく
仕組め,しく
仕組な,しく
仕舞い,しま
仕舞う,しま
仕舞った,しま
仕舞わ,しま
仕舞って,しま
仕舞お,しま
仕舞え,しま
仕舞わ,しま
仕込み,しこ
仕込む,しこ
仕込ん,しこ
仕込ま,しこ
仕込め,しこ
仕込な,しこ
仕返し,しかえし
仕送り,しおくり
他界,たかい
他薦,たせん
付き,つ
付く,つ
付い,つ
付か,つ
付おう,つ
付け,つ
付え,つ
付けま,つ
付ける,つ
付けた,つ
付けな,つ
付けず,つ
付けて,つ
付けよ,つ
付けら,つ
付けさ,つ
付けろ,つ
付する,ふする
付与,ふよ
付加,ふか
付属,ふぞく
付帯,ふたい
付着,ふちゃく
付言,ふげん
付託,ふたく
付記,ふき
付随,ふずい
代弁,だいべん
代書,だいしょ
代替,だいたい
代理,だいり
代用,だいよう
代筆,だいひつ
代行,だいこう
代表,だいひょう
代読,だいどく
代謝,たいしゃ
代議,だいぎ
代走,だいそう
仮住まい,かりずまい
仮定,かてい
仮想,かそう
仮眠,かみん
仮称,かしょう
仮装,かそう
仮設,かせつ
仰ぎ,あお
仰ぐ,あお
仰い,あお
仰が,あお
仰お,あお
仰げ,あお
仰え,あお
仰り,おっしゃ
仰る,おっしゃ
仰った,おっしゃ
仰ら,おっしゃ
仰って,おっしゃ
仰ろ,おっしゃ
仰れ,おっしゃ
仰ら,おっしゃ
仰天,ぎょうてん
仲介,ちゅうかい
仲直り,なかなおり
仲立ち,なかだち
仲裁,ちゅうさい
仲間入り,なかまいり
任し,まか
任す,まか
任さ,まか
任そ,まか
任せ,まか
任せま,まか
任せる,まか
任せた,まか
任せな,まか
任せず,まか
任せて,まか
任せよ,まか
任せら,まか
任せさ,まか
任せろ,まか
任免,にんめん
任命,にんめい
任官,にんかん
任意出頭,にんいしゅっとう
任用,にんよう
企てま,くわだ
企てる,くわだ
企てた,くわだ
企てな,くわだ
企てず,くわだ
企てて,くわだ
企てよ,くわだ
企てら,くわだ
企てさ,くわだ
企てろ,くわだ
企み,たくら
企む,たくら
企ん,たくら
企ま,たくら
企め,たくら
企な,たくら
企図,きと
企画,きかく
企画します,きかく
企画する,きかく
企画し,きかく
企画そ,きかく
企画せ,きかく
企画さ,きかく
企画せ,きかく
伏せ,ぶせ
伏せり,ふせ
伏せる,ふせ
伏せった,ふせ
伏せら,ふせ
伏せって,ふせ
伏せろ,ふせ
伏せれ,ふせ
伏せら,ふせ
伐採,ばっさい
休すま,きゅう
休する,きゅう
休すた,きゅう
休すな,きゅう
休すず,きゅう
休すて,きゅう
休すよ,きゅう
休すら,きゅう
休すさ,きゅう
休すろ,きゅう
休まり,やすま
休まる,やすま
休まった,やすま
休まら,やすま
休まって,やすま
休まろ,やすま
休まれ,やすま
休まら,やすま
休み,やす
休む,やす
休ん,やす
休ま,やす
休め,やす
休な,やす
休めま,やす
休める,やす
休めた,やす
休めな,やす
休めず,やす
休めて,やす
休めよ,やす
休めら,やす
休めさ,やす
休めろ,やす
休会,きゅうかい
休刊,きゅうかん
休場,きゅうじょう
休息,きゅうそく
休憩,きゅうけい
休戦,きゅうせん
休校,きゅうこう
休業,きゅうぎょう
休止,きゅうし
休演,きゅうえん
休眠,きゅうみん
休耕,きゅうこう
休職,きゅうしょく
休診,きゅうしん
休講,きゅうこう
休養,きゅうよう
休館,きゅうかん
会い,あ
会う,あ
会った,あ
会わ,あ
会って,あ
会お,あ
会え,あ
会わ,あ
会すま,かい
会する,かい
会すた,かい
会すな,かい
会すず,かい
会すて,かい
会すよ,かい
会すら,かい
会すさ,かい
会すろ,かい
会合,かいごう
会得,えとく
会葬,かいそう
会見,かいけん
会話,かいわ
会談,かいだん
会議,かいぎ
会食,かいしょく
伝い,つた
伝う,つた
伝った,つた
伝わ,つた
伝って,つた
伝お,つた
伝え,つた
伝わ,つた
伝えま,つた
伝える,つた
伝えた,つた
伝えな,つた
伝えず,つた
伝えて,つた
伝えよ,つた
伝えら,つた
伝えさ,つた
伝えろ,つた
伝わり,つたわ
伝わる,つたわ
伝わった,つたわ
伝わら,つたわ
伝わって,つたわ
伝わろ,つたわ
伝われ,つたわ
伝わら,つたわ
伝導,でんどう
伝承,でんしょう
伝授,でんじゅ
伝播,でんぱ
伝来,でんらい
伝染,でんせん
伝聞,でんぶん
伝言,でんごん
伝送,でんそう
伝道,でんどう
伝達,でんたつ
伯仲,はくちゅう
伴い,ともな
伴う,ともな
伴った,ともな
伴わ,ともな
伴って,ともな
伴お,ともな
伴え,ともな
伴わ,ともな
伴奏,ばんそう
伴走,ばんそう
伸ばし,のば
伸ばす,のば
伸ばさ,のば
伸ばそ,のば
伸ばせ,のば
伸び,のび
伸びま,の
伸びる,の
伸びた,の
伸びな,の
伸びず,の
伸びて,の
伸びよ,の
伸びら,の
伸びさ,の
伸びろ,の
伸べま,のべ
伸べる,のべ
伸べた,のべ
伸べな,のべ
伸べず,のべ
伸べて,のべ
伸べよ,のべ
伸べら,のべ
伸べさ,のべ
伸べろ,のべ
伸縮,しんしゅく
伸長,しんちょう
伺い,うかが
伺う,うかが
伺った,うかが
伺わ,うかが
伺って,うかが
伺お,うかが
伺え,うかが
伺わ,うかが
似せま,に
似せる,に
似せた,に
似せな,に
似せず,に
似せて,に
似せよ,に
似せら,に
似せさ,に
似せろ,に
似るま,に
似るる,に
似るた,に
似るな,に
似るず,に
似るて,に
似るよ,に
似るら,に
似るさ,に
似るろ,に
似合い,にあ
似合う,にあ
似合った,にあ
似合わ,にあ
似合って,にあ
似合お,にあ
似合え,にあ
似合わ,にあ
似通い,にかよ
似通う,にかよ
似通った,にかよ
似通わ,にかよ
似通って,にかよ
似通お,にかよ
似通え,にかよ
似通わ,にかよ
佇み,たたず
佇む,たたず
佇ん,たたず
佇ま,たたず
佇め,たたず
佇な,たたず
位置,いち
位置付けま,いちづ
位置付ける,いちづ
位置付けた,いちづ
位置付けな,いちづ
位置付けず,いちづ
位置付けて,いちづ
位置付けよ,いちづ
位置付けら,いちづ
位置付けさ,いちづ
位置付けろ,いちづ
低めま,ひく
低める,ひく
低めた,ひく
低めな,ひく
低めず,ひく
低めて,ひく
低めよ,ひく
低めら,ひく
低めさ,ひく
低めろ,ひく
低下,ていか
低減,ていげん
低落,ていらく
低迷,ていめい
住まい,すま
住まう,すま
住まった,すま
住まわ,すま
住まって,すま
住まお,すま
住まえ,すま
住まわ,すま
住み,す
住む,す
住ん,す
住ま,す
住め,す
住な,す
住居,じゅうきょ
体当たり,たいあたり
体得,たいとく
体操,たいそう
体現,たいげん
体験,たいけん
何とか,なんとか
余し,あま
余す,あま
余さ,あま
余そ,あま
余せ,あま
余り,あま
余る,あま
余った,あま
余ら,あま
余って,あま
余ろ,あま
余れ,あま
余ら,あま
作り,つく
作る,つく
作った,つく
作ら,つく
作って,つく
作ろ,つく
作れ,つく
作ら,つく
作付け,さくづけ
作動,さどう
作成,さくせい
作文,さくぶん
作曲,さっきょく
作業,さぎょう
作歌,さっか
作為,さくい
作用,さよう
作画,さくが
作製,さくせい
作詞,さくし
作詩,さくし
併合,へいごう
併存,へいぞん
併殺,へいさつ
併用,へいよう
併発,へいはつ
併記,へいき
併設,へいせつ
使いこなし,つかいこな
使いこなす,つかいこな
使いこなさ,つかいこな
使いこなそ,つかいこな
使いこなせ,つかいこな
使い,つか
使う,つか
使った,つか
使わ,つか
使って,つか
使お,つか
使え,つか
使わ,つか
使用,しよう
例えま,たと
例える,たと
例えた,たと
例えな,たと
例えず,たと
例えて,たと
例えよ,たと
例えら,たと
例えさ,たと
例えろ,たと
例示,れいじ
例証,れいしょう
供えま,そな
供える,そな
供えた,そな
供えな,そな
供えず,そな
供えて,そな
供えよ,そな
供えら,そな
供えさ,そな
供えろ,そな
供与,きょうよ
供出,きょうしゅつ
供給,きょうきゅう
供託,きょうたく
供述,きょうじゅつ
供養,くよう
依り,よ
依る,よ
依った,よ
依ら,よ
依って,よ
依ろ,よ
依れ,よ
依ら,よ
依存,いぞん
依拠,いきょ
依頼,いらい
侮り,あなど
侮る,あなど
侮った,あなど
侮ら,あなど
侮って,あなど
侮ろ,あなど
侮れ,あなど
侮ら,あなど
侮蔑,ぶべつ
侮辱,ぶじょく
侵し,おか
侵す,おか
侵さ,おか
侵そ,おか
侵せ,おか
侵入,しんにゅう
侵害,しんがい
侵攻,しんこう
侵犯,しんぱん
侵略,しんりゃく
侵食,しんしょく
便乗,びんじょう
便秘,べんぴ
係争,けいそう
係留,けいりゅう
促し,うなが
促す,うなが
促さ,うなが
促そ,うなが
促せ,うなが
促成,そくせい
促進,そくしん
保する,ほする
保ち,たも
保つ,たも
保った,たも
保た,たも
保って,たも
保とう,たも
保げ,たも
保た,たも
保て,たも
保全,ほぜん
保存,ほぞん
保守,ほしゅ
保持,ほじ
保有,ほゆう
保温,ほおん
保留,ほりゅう
保管,ほかん
保育,ほいく
保証,ほしょう
保護,ほご
保釈,ほしゃく
保養,ほよう
信じる,しんじる
信ずま,しん
信ずる,しん
信ずた,しん
信ずな,しん
信ずず,しん
信ずて,しん
信ずよ,しん
信ずら,しん
信ずさ,しん
信ずろ,しん
信仰,しんこう
信任,しんにん
信号,しんごう
信奉,しんぽう
信心,しんじん
信用,しんよう
信託,しんたく
信頼,しんらい
修めま,おさ
修める,おさ
修めた,おさ
修めな,おさ
修めず,おさ
修めて,おさ
修めよ,おさ
修めら,おさ
修めさ,おさ
修めろ,おさ
修了,しゅうりょう
修好,しゅうこう
修学,しゅうがく
修復,しゅうふく
修整,しゅうせい
修業,しゅうぎょう
修正,しゅうせい
修理,しゅうり
修練,しゅうれん
修繕,しゅうぜん
修行,しゅぎょう
修道,しゅうどう
修養,しゅうよう
俯き,うつむ
俯く,うつむ
俯い,うつむ
俯か,うつむ
俯おう,うつむ
俯け,うつむ
俯え,うつむ
倍加,ばいか
倍増,ばいぞう
倒し,たお
倒す,たお
倒さ,たお
倒そ,たお
倒せ,たお
倒れま,たお
倒れる,たお
倒れた,たお
倒れな,たお
倒れず,たお
倒れて,たお
倒れよ,たお
倒れら,たお
倒れさ,たお
倒れろ,たお
倒壊,とうかい
倒産,とうさん
倒置,とうち
倒閣,とうかく
借り,かり
借りま,か
借りる,か
借りた,か
借りな,か
借りず,か
借りて,か
借りよ,か
借りら,か
借りさ,か
借りろ,か
借地,しゃくち
借用,しゃくよう
借金,しゃっきん
倣い,なら
倣う,なら
倣った,なら
倣わ,なら
倣って,なら
倣お,なら
倣え,なら
倣わ,なら
値すま,あたい
値する,あたい
値すた,あたい
値すな,あたい
値すず,あたい
値すて,あたい
値すよ,あたい
値すら,あたい
値すさ,あたい
値すろ,あたい
値上がり,ねあがり
値上げ,ねあげ
値下がり,ねさがり
値下げ,ねさげ
値切り,ねぎ
値切る,ねぎ
値切った,ねぎ
値切ら,ねぎ
値切って,ねぎ
値切ろ,ねぎ
値切れ,ねぎ
値切ら,ねぎ
値崩れ,ねくずれ
値引き,ねびき
倦怠,けんたい
倹約,けんやく
偏り,かたよ
偏る,かたよ
偏った,かたよ
偏ら,かたよ
偏って,かたよ
偏ろ,かたよ
偏れ,かたよ
偏ら,かたよ
偏向,へんこう
偏重,へんちょう
偏食,へんしょく
停戦,ていせん
停止,ていし
停泊,ていはく
停滞,ていたい
停職,ていしょく
停船,ていせん
停車,ていしゃ
停電,ていでん
健闘,けんとう
偲び,しの
偲ぶ,しの
偲ん,しの
偲ば,しの
偲ぼ,しの
偲べ,しの
偲ば,しの
偲べ,しの
偵察,ていさつ
偶発,ぐうはつ
偽り,いつわ
偽る,いつわ
偽った,いつわ
偽ら,いつわ
偽って,いつわ
偽ろ,いつわ
偽れ,いつわ
偽ら,いつわ
偽装,ぎそう
偽証,ぎしょう
偽造,ぎぞう
傍受,ぼうじゅ
傍聴,ぼうちょう
傍観,ぼうかん
傑出,けっしゅつ
備えま,そな
備える,そな
備えた,そな
備えな,そな
備えず,そな
備えて,そな
備えよ,そな
備えら,そな
備えさ,そな
備えろ,そな
備わり,そなわ
備わる,そなわ
備わった,そなわ
備わら,そなわ
備わって,そなわ
備わろ,そなわ
備われ,そなわ
備わら,そなわ
備蓄,びちく
催し,もよお
催す,もよお
催さ,もよお
催そ,もよお
催せ,もよお
催促,さいそく
傷つき,きずつ
傷つく,きずつ
傷つい,きずつ
傷つか,きずつ
傷つおう,きずつ
傷つけ,きずつ
傷つえ,きずつ
傷つけま,きず
傷つける,きず
傷つけた,きず
傷つけな,きず
傷つけず,きず
傷つけて,きず
傷つけよ,きず
傷つけら,きず
傷つけさ,きず
傷つけろ,きず
傷害,しょうがい
傷心,しょうしん
傾き,かたむ
傾く,かたむ
傾い,かたむ
傾か,かたむ
傾おう,かたむ
傾け,かたむ
傾え,かたむ
傾けま,かたむ
傾ける,かたむ
傾けた,かたむ
傾けな,かたむ
傾けず,かたむ
傾けて,かたむ
傾けよ,かたむ
傾けら,かたむ
傾けさ,かたむ
傾けろ,かたむ
傾げま,かし
傾げる,かし
傾げた,かし
傾げな,かし
傾げず,かし
傾げて,かし
傾げよ,かし
傾げら,かし
傾げさ,かし
傾げろ,かし
傾倒,けいとう
傾斜,けいしゃ
傾注,けいちゅう
傾聴,けいちょう
働かし,はたらか
働かす,はたらか
働かさ,はたらか
働かそ,はたらか
働かせ,はたらか
働きかけま,はたらきか
働きかける,はたらきか
働きかけた,はたらきか
働きかけな,はたらきか
働きかけず,はたらきか
働きかけて,はたらきか
働きかけよ,はたらきか
働きかけら,はたらきか
働きかけさ,はたらきか
働きかけろ,はたらきか
働き,はたら
働く,はたら
働い,はたら
働か,はたら
働おう,はたら
働け,はたら
働え,はたら
僻み,ひが
僻む,ひが
僻ん,ひが
僻ま,ひが
僻め,ひが
僻な,ひが
償い,つぐな
償う,つぐな
償った,つぐな
償わ,つぐな
償って,つぐな
償お,つぐな
償え,つぐな
償わ,つぐな
償還,しょうかん
優れま,すぐ
優れる,すぐ
優れた,すぐ
