新型コロナウイルス感染症,しんがたコロナウイルスかんせんしょう
やり切れない,やりき
ゆうちょ銀行,ゆうちょぎんこう
よくある質問,よくあるしつもん
詠み人知らず,よみびとしらず
寄り合い所帯,よりあいじょたい
六十四分音符,ろくじゅうしぶおんぷ
分かりにくい,わ
アカデミー賞,アカデミーしょう
エッフェル塔,エッフェルとう
ケーソン工法,ケーソンこうほう
スポーツ新聞,スポーツしんぶん
ダウ平均株価,ダウへいきんかぶか
フランス料理,フランスりょうり
マルクス主義,マルクスしゅぎ
言いようがな,い
言うまでもな,い
どう仕様もな,どうしようもない
ないと行けな,い
何とも言えな,い
相変わらず,あいかわらず
愛くるしい,あい
飽くまでも,あくまでも
上げ下ろし,あげお
悪しからず,あしからず
足手まとい,あしで
有って無い,あってな
厚かましい,あつ
危なげない,あぶなげ
あり得ない,ありえ
有りのまま,あ
有り触れた,ありふ
ある意味で,あるいみで
慌ただしい,あわただしい
行き詰まり,いきづ
行き止まり,いきど
行けません,いけません
依然として,いぜんとして
一酸化炭素,いっさんかたんそ
何時に無く,いつになく
何時までも,いつまでも
いつも通り,いつもどお
遺伝子工学,いでんしこうがく
井戸端会議,いどばたかいぎ
命からがら,いのちからがら
忌まわしい,いまわしい
入れ替わり,いれか
後ろめたい,うしろめたい
打ち合わせ,うちあわせ
宇宙飛行士,うちゅうひこうし
移り変わり,うつりか
腕立て伏せ,うでたてふせ
上手く行く,うまくいく
生まれ育つ,うまれそだつ
生まれつき,うまれつき
埋め合わせ,うめあわせ
埋め立て地,うめたてち
売り掛け金,うりかけきん
売り手市場,うりてしじょう
お医者さん,おいしゃさん
お気に入り,おきにい
お好み焼き,おこのみやき
惜しみ無く,おしみなく
押し目買い,おしめがい
押しボタン,おしボタン
お祖父さん,おじいさん
おせち料理,おせちりょうり
落ちこぼれ,おちこぼれ
落ち着いた,おちついた
大人っぽい,おとなっぽい
お祖母さん,おばあ
お婆ちゃん,おばあ
お久しぶり,おひさしぶり
お祭り騒ぎ,おまつりさわぎ
お巡りさん,おまわりさん
お見積もり,おみつ
お目出度う,おめでと
思い切って,おもいき
思いっきり,おもいっき
お持て成し,おもてなし
折り返し点,おりかえしてん
折りたたみ,おりたたみ
折に触れて,おりにふ
会計検査院,かいけいけんさいん
会社更生法,かいしゃこうせいほう
海上自衛隊,かいじょうじえいたい
海上保安庁,かいじょうほあんちょう
買い手市場,かいてしじょう
開発途上国,かいはつとじょうこく
海洋気象台,かいようきしょうだい
科学技術庁,かがくぎじゅつちょう
化学調味料,かがくちょうみりょう
確たる証拠,かくたるしょうこ
格安航空券,かくやすこうくうけん
重なり合う,かさなりあう
重ね合わせ,かさねあわせ
片っ端から,かたっぱしから
勝ち名乗り,かちなのり
勝手気まま,かってき
家庭裁判所,かていさいばんしょ
家庭内暴力,かていないぼうりょく
構いません,かまいません
可愛らしい,かわい
変わらない,か
管区気象台,かんくきしょうだい
缶コーヒー,かん
気象予報士,きしょうよほうし
北アメリカ,きた
気遣わしい,きづかわしい
決まり文句,きまりもんく
気持ち悪い,きもちわる
旧石器時代,きゅうせっきじだい
教育委員会,きょういくいいんかい
今日この頃,きょうこのごろ
切りがない,きりが
切り立った,きりた
極まりない,きわま
行政管理庁,ぎょうせいかんりちょう
組み合わせ,くみあ
暮らし向き,くらしむ
呉れ呉れも,くれぐれも
食わず嫌い,くわずぎら
経済企画庁,けいざいきかくちょう
経済研究所,けいざいけんきゅうしょ
経済成長率,けいざいせいちょうりつ
憲法裁判所,けんぽうさいばんしょ
公安委員会,こうあんいいんかい
公安調査庁,こうあんちょうさちょう
航空自衛隊,こうくうじえいたい
公式サイト,こうしきサイト
高等裁判所,こうとうさいばんしょ
公認会計士,こうにんかいけいし
更年期障害,こうねんきしょうがい
小気味良い,こきみよ
国民総生産,こくみんそうせいさん
国立博物館,こくりつはくぶつかん
心を込めて,こころをこ
小競り合い,こぜりあい
国会議事堂,こっかいぎじどう
国家公務員,こっかこうむいん
細かいこと,こまか
最高裁判所,さいこうさいばんしょ
最後の舞台,さいごのぶたい
最たるもの,さい
最大公約数,さいだいこうやくすう
差し当たり,さしあ
差し押さえ,さしお
酸化防止剤,さんかぼうしざい
産業スパイ,さんぎょう
財政投融資,ざいせいとうゆうし
市営地下鉄,しえいちかてつ
歯科衛生士,しかえいせいし
仕方がない,しかたがない
市場占有率,しじょうせんゆうりつ
下請け業者,したうけぎょうしゃ
死に物狂い,しにものぐる
支払い済み,しはらいず
支払い方法,しはらいほうほう
司法研修所,しほうけんしゅうじょ
締め切り日,しめきりび
社会保険庁,しゃかいほけんちょう
仕様がない,しょう
商工会議所,しょうこうかいぎしょ
職業安定所,しょくぎょうあんていじょ
食品添加物,しょくひんてんかぶつ
身体障害者,しんたいしょうがいしゃ
自動販売機,じどうはんばいき
自賠責保険,じばいせきほけん
耳鼻咽喉科,じびいんこうか
じゃ無いか,じゃな
重要文化財,じゅうようぶんかざい
自由労働者,じゆうろうどうしゃ
常任委員会,じょうにんいいんかい
情報化社会,じょうほうかしゃかい
少なからず,すく
少なくとも,すく
素晴らしい,すば
澄み切った,すみき
済みません,す
精神安定剤,せいしんあんていざい
生鮮食料品,せいせんしょくりょうひん
清涼飲料水,せいりょういんりょうすい
背負い投げ,せおいなげ
責任を持つ,せきにんをもつ
世間知らず,せけんしらず
１０００円,せんえん
千九百年代,せんきゅうひゃくねんだい
戦争犯罪人,せんそうはんざいにん
是が非でも,ぜがひでも
前方後円墳,ぜんぽうこうえんふん
然うすれば,そ
相対性理論,そうたいせいりろん
組織労働者,そしきろうどうしゃ
素っ気ない,そっけ
染まり具合,そまりぐあい
太平洋戦争,たいへいようせんそう
絶え間なく,たえま
高飛び込み,たかとびこ
立ち上がり,たちあ
立ち向かう,たちむ
第一次産業,だいいちじさんぎょう
第三次産業,だいさんじさんぎょう
だらし無い,だらしな
力いっぱい,ちから
地球温暖化,ちきゅうおんだんか
地方公務員,ちほうこうむいん
地方裁判所,ちほうさいばんしょ
地方自治体,ちほうじちたい
中間配当額,ちゅうかんはいとうがく
懲罰委員会,ちょうばついいんかい
通商産業省,つうしょうさんぎょうしょう
突き当たり,つきあ
突き落とし,つきお
次のように,つぎ
詰め合わせ,つめあ
連れ込み宿,つれこみやど
連れて行く,つれてい
天然記念物,てんねんきねんぶつ
天皇誕生日,てんのうたんじょうび
出来上がり,できあ
出来るだけ,でき
では無いか,ではな
電子計算機,でんしけいさんき
電子顕微鏡,でんしけんびきょう
電波望遠鏡,でんぱぼうえんきょう
問い合わせ,といあわせ
通りすがり,とお
時は金なり,ときはかね
特別配当金,とくべつはいとうきん
隣り合わせ,となりあ
泊まり込み,とまりこ
止めどなく,とめど
取りあえず,と
取り締まり,とりし
取り計らい,とりはか
道義的責任,どうぎてきせきにん
如何しても,どう
独立採算制,どくりつさいさんせい
何処までも,どこ
内閣法制局,ないかくほうせいきょく
泣き寝入り,なきねい
嘆かわしい,なげか
名残惜しい,なごりお
何故ならば,なぜ
何を隠そう,なにをかく
涙ぐましい,なみだぐ
鳴り物入り,なりものい
何だかんだ,なん
何と言うか,なんとい
当たっては,あた
似合わしい,にあ
二酸化炭素,にさんかたんそ
二重価格制,にじゅうかかくせい
日常茶飯事,にちじょうさはんじ
二百二十日,にひゃくはつか
入国管理局,にゅうこくかんりきょく
人形浄瑠璃,にんぎょうじょうるり
人間ドック,にんげん
縫いぐるみ,ぬ
熱帯低気圧,ねったいていきあつ
農業試験場,のうぎょうしけんじょう
農林水産省,のうりんすいさんしょう
排卵誘発剤,はいらんゆうはつざい
走り高跳び,はしりたかと
走り幅跳び,はしりはばと
始まらない,はじ
初めまして,はじ
恥ずかしい,はず
発展途上国,はってんとじょうこく
初顔合わせ,はつかおあわせ
果てしない,は
跳ね上がり,はねあ
腹立たしい,はらだ
馬鹿らしい,ばか
引き落とし,ひきお
引き換え券,ひきかえけん
引き込み線,ひきこみせん
引きこもり,ひ
引き伸ばし,ひきの
人付き合い,ひとづきあ
一人暮らし,ひとりぐ
一人ぼっち,ひとり
日焼け止め,ひやけど
びしょ濡れ,びしょぬ
吹き溜まり,ふきだ
不在者投票,ふざいしゃとうひょう
不行き届き,ふゆきとどき
古めかしい,ふる
不渡り手形,ふわたりてがた
ぶっきら棒,ぶっきらぼう
法務委員会,ほうむいいんかい
法律事務所,ほうりつじむしょ
ほうれん草,ほうれんそう
歩行者天国,ほこうしゃてんごく
掘り出し物,ほりだしもの
ほんの少し,ほんのすこ
防衛施設庁,ぼうえいしせつちょう
防犯カメラ,ぼうはん
紛らわしい,まぎ
紛れもない,まぎ
負け惜しみ,まけお
待ち合わせ,まちあ
間違いない,まちが
待ち遠しい,まちどお
待ちぼうけ,ま
までも無い,までもな
間に合わせ,まにあ
見切り発車,みきりはっしゃ
みじん切り,みじんぎ
見ず知らず,みずし
見たところ,み
南アフリカ,みなみ
身代金要求,みのしろきんようきゅう
身分証明書,みぶんしょうめいしょ
向かい合う,むかいあ
無過失責任,むかしつせきにん
向かって左,むかってひだり
無形文化財,むけいぶんかざい
無政府主義,むせいふしゅぎ
無線ＬＡＮ,むせんラン
胸突き八丁,むなつきはっちょう
目覚ましい,めざま
面と向かう,めんとむ
面倒くさい,めんど
申し合わせ,もうしあ
申し分無い,もうしぶんな
申し訳ない,もうしわけ
若しかして,も
持ち合わせ,もちあ
尤もらしい,もっとも
物足りない,ものた
盛り上がり,もりあ
文部科学省,もんぶかがくしょう
八つ当たり,やつあ
有機化合物,ゆうきかごうぶつ
優生保護法,ゆうせいほごほう
湯沸かし器,ゆわかしき
良かったら,よ
寄せ木細工,よせぎざいく
読み上げ算,よみあげざん
読みにくい,よ
選りすぐり,よ
理学療法士,りがくりょうほうし
陸上自衛隊,りくじょうじえいたい
立正佼成会,りっしょうこうせいかい
林業試験場,りんぎょうしけんじょう
連係プレー,れんけい
労働委員会,ろうどういいんかい
労働基準局,ろうどうきじゅんきょく
労働基準法,ろうどうきじゅんほう
録音テープ,ろくおん
分からず屋,わからずや
訳じゃない,わけ
訳ではない,わけ
割り引き券,わりびきけん
アキレス腱,アキレスけん
アルカリ性,アルカリせい
イスラム教,イスラムきょう
印度尼西亜,インドネシア
ウォール街,ウォールがい
オリーブ色,オリーブいろ
オレンジ色,オレンジいろ
オープン戦,オープンせん
ガラス張り,ガラスば
キリスト教,キリストきょう
クラブ活動,クラブかつどう
サイン入り,サインい
サハラ砂漠,サハラさばく
サービス業,サービスぎょう
シャボン玉,シャボンだま
ジェット機,ジェットき
スペイン語,スペインご
スワヒリ語,スワヒリご
セーラー服,セーラーふく
タンパク質,タンパクしつ
テレビ番組,テレビばんぐみ
データ通信,データつうしん
ノーベル賞,ノーベルしょう
ハンセン病,ハンセンびょう
バベルの塔,バベルのとう
バンタム級,バンタムきゅう
フランス語,フランスご
ブラウン管,ブラウンかん
メキシコ湾,メキシコわん
ロケット弾,ロケットだん
危なっかし,あぶ
浮かばれな,う
思いがけな,おも
数え切れな,かぞき
可能性が高,かのうせいたか
手っ取り早,てはや
とんでも無,な
どうでも良,よ
何処にもな,どこいな
馴れ馴れし,なれなれ
煮え切らな,にき
似つかわし,に
計り知れな,はかし
見当たらな,みあ
見っとも無,な
目まぐるし,め
役に立たな,やくた
やむを得な,え
やり切れな,き
分かりにく,わ
嗚呼嗚呼,ああああ
ああ言う,ああいう
あいつ等,あいつら
合いの手,あいのて
相まって,あい
愛らしい,あい
青息吐息,あおいきといき
青色申告,あおいろしんこく
青田買い,あおたが
赤ちゃん,あかちゃん
秋雨前線,あきさめぜんせん
悪名高い,あくめいたか
あくる日,あくるひ
明け暮れ,あけくれ
上げ下げ,あげさげ
憧れの的,あこがれのまと
足がかり,あしがかり
味気ない,あじけ
預かり所,あずかりじょ
遊び相手,あそびあいて
当たり年,あたりどし
当たり前,あたりまえ
当たり役,あたりやく
圧縮空気,あっしゅくくうき
圧力団体,あつりょくだんたい
後片付け,あとかたづけ
後の祭り,あとのまつ
あなた方,あなたがた
暴れん坊,あばれんぼう
油絵の具,あぶらえのぐ
脂っこい,あぶらっ
甘えん坊,あまえんぼう
雨上がり,あめあ
操り人形,あやつりにんぎょう
歩み寄り,あゆみよ
荒々しい,あらあら
改まった,あらた
荒っぽい,あら
有りがち,ありが
有り難う,ありがと
在りし日,ありしひ
有りそう,あ
荒れ模様,あれもよう
併せ持つ,あわせもつ
暗証番号,あんしょうばんごう
安全装置,あんぜんそうち
安全地帯,あんぜんちたい
安全保障,あんぜんほしょう
安全ピン,あんぜんピン
言い合う,いいあ
言い争い,いいあらそ
言い換え,いいかえ
いい加減,いいかげん
言い伝え,いいつたえ
言いなり,いいなり
言い逃れ,いいのがれ
言い回し,いいまわ
言い渡し,いいわた
家づくり,いえ
如何にも,いかにも
生き生き,いきいき
生き埋め,いきう
生き甲斐,いきがい
息苦しい,いきぐる
意気軒昂,いきけんこう
意気盛ん,いきさか
生き地獄,いきじごく
行き過ぎ,いきす
行き違い,いきちが
行き届く,いきとど
行き成り,いきな
生き残り,いきのこり
生き別れ,いきわかれ
異口同音,いくどうおん
行けない,いけない
勇ましい,いさましい
意識調査,いしきちょうさ
意思決定,いしけってい
意思疎通,いしそつう
意思表示,いしひょうじ
以心伝心,いしんでんしん
痛々しい,いたいたしい
痛ましい,いたましい
痛み分け,いたみわけ
一次産業,いちじさんぎょう
一次産品,いちじさんぴん
位置付,いちづ
いち早,いちはや
一部始終,いちぶしじゅう
一枚看板,いちまいかんばん
一目散に,いちもくさんに
一攫千金,いっかくせんきん
一括払い,いっかつばらい
一騎打ち,いっきう
一戸建て,いっこだ
一生懸命,いっしょうけんめい
一触即発,いっしょくそくはつ
一心同体,いっしんどうたい
一心不乱,いっしんふらん
一石二鳥,いっせきにちょう
一足飛び,いっそくとび
一朝一夕,いっちょういっせき
一長一短,いっちょういったん
一点張り,いってんばり
一刀両断,いっとうりょうだん
一方通行,いっぽうつうこう
一本釣り,いっぽんづり
何時でも,いつでも
移動平均,いどうへいきん
井戸掘り,いどほり
委任統治,いにんとうち
今ひとつ,いまひとつ
意味合い,いみあい
意味不明,いみふめい
嫌がらせ,いやがらせ
嫌らしい,いやらしい
入り込み,いりごみ
入れ替え,いれか
色っぽい,いろっぽい
陰イオン,いんイオン
胃カメラ,い
初々しい,ういうい
植え込み,うえこみ
飢え死に,うえじに
植え付け,うえつけ
浮き浮き,うきうき
浮き沈み,うきしずみ
浮き立つ,うきたつ
浮き彫り,うきぼり
請け合う,うけあう
受け入れ,うけい
請け負う,うけお
受け答え,うけこた
受け持ち,うけも
受け持つ,うけも
受け渡し,うけわた
後ろ向き,うしろむ
薄明かり,うすあ
薄っぺら,うす
疑わしい,うたが
打ち合い,うちあ
撃ち合い,うちあ
打ち合う,うちあ
打ち上げ,うちあ
討ち入り,うちい
打ち掛け,うちか
打ち勝つ,うちか
打ち切り,うちき
打ち消し,うちけ
打ち込み,うちこみ
打ち出し,うちだし
打ち止め,うちどめ
宇宙開発,うちゅうかいはつ
宇宙空間,うちゅうくうかん
宇宙通信,うちゅうつうしん
鬱陶しい,うっとう
雨天順延,うてんじゅんえん
奪い合い,うばいあい
生みの親,うみのおや
埋め立て,うめたて
有耶無耶,うやむや
裏切り者,うらぎりもの
羨ましい,うらやましい
売り上げ,うりあ
売り切れ,うりきれ
売り込み,うりこみ
売り出し,うりだし
売り払う,うりはらう
売り渡し,うりわたし
売れ残り,うれのこり
売れ行き,うれゆ
上っ調子,うわっちょうし
上手投げ,うわてな
運転免許,うんてんめんきょ
雲泥の差,うんでいのさ
運動神経,うんどうしんけい
運動不足,うんどうぶそく
営業時間,えいぎょうじかん
営業マン,えいぎょうマン
英国航空,えいこくこうくう
栄養失調,えいようしっちょう
液体酸素,えきたいさんそ
江戸時代,えどじだい
江戸っ子,えどっこ
絵を描く,えをかく
援助交際,えんじょこうさい
円盤投げ,えんばんなげ
遠慮なく,えんりょなく
追い討ち,おいうち
追い越し,おいこし
追い込み,おいこみ
美味しい,おいしい
生い立ち,おいたち
追い立て,おいたて
追い抜く,おいぬく
追い払う,おいはらう
黄金時代,おうごんじだい
王政復古,おうせいふっこ
横断歩道,おうだんほどう
大掛かり,おおが
大助かり,おおだす
大っぴら,おお
大手企業,おおてきぎょう
お買い得,おかいどく
お陰様で,おかげさまで
可笑しい,おかしい
可笑しな,おかしな
置き去り,おきざり
置き時計,おきどけい
置き土産,おきみやげ
奥まって,おく
送り仮名,おくりがな
送り出し,おくりだ
送り迎え,おくりむか
幼なじみ,おさな
押し合い,おしあ
押し入り,おしい
押し売り,おしう
お仕着せ,おしき
押し切り,おしき
押し込み,おしこ
押し倒し,おしたお
押し出し,おしだ
お仕舞い,おしま
押し問答,おしもんどう
お知らせ,おしら
恐るべき,おそる
恐ろしい,おそろ
お互いに,おたが
お誕生日,おたんじょうび
大事に,だいじ
落ち合う,おちあ
落ち着き,おちつ
落ち着く,おちつ
追っかけ,お
大っきい,お
お疲れ様,おつかれさま
お手上げ,おてあ
お手洗い,おてあら
お手盛り,おても
お出かけ,おで
男っぽい,おとこ
男らしい,おとこ
落とし穴,おとしあな
落とし物,おとしもの
大人しい,おとな
驚くほど,おどろくほど
お腹の子,おなかのこ
お馴染み,おなじ
兄さん,にい
母さん,かあ
姉さん,ねえ
嬢さん,じょう
自ずから,おのずから
お話し中,おはなしちゅう
お一人様,おひとりさま
坊さん,ぼう
お負けに,おま
思い描く,おもいえが
思い思い,おもいおも
思い切り,おもいき
思い込み,おもいこ
思い立つ,おもいた
思い違い,おもいちが
思いつき,おも
思い出話,おもいでばなし
思いやり,おもいやり
思う存分,おもうぞんぶん
重々しい,おもおも
重苦しい,おもくる
親代わり,おやが
折り合い,おりあ
折り合う,おりあ
折り返し,おりかえ
折り込み,おりこ
卸売市場,おろしうりしじょう
卸売物価,おろしうりぶっか
卸し問屋,おろしどんや
音響効果,おんきょうこうか
恩知らず,おんしらず
女らしい,おんならし
買い上げ,かいあ
買い入れ,かいい
海外出張,かいがいしゅっちょう
海外旅行,かいがいりょこう
階級闘争,かいきゅうとうそう
会計年度,かいけいねんど
解決方法,かいけつほうほう
介護保険,かいごほけん
買い支え,かいささえ
開始時刻,かいしじこく
買い占め,かいしめ
海水浴場,かいすいよくじょう
懐石料理,かいせきりょうり
買い出し,かいだし
懐中電灯,かいちゅうでんとう
懐中時計,かいちゅうどけい
買い付け,かいつけ
開店休業,かいてんきゅうぎょう
買い控え,かいびかえ
買い戻し,かいもどし
返り咲き,かえりざき
顔合わせ,かおあわせ
顔なじみ,かおなじみ
顔見知り,かおみしり
科学技術,かがくぎじゅつ
化学繊維,かがくせんい
化学肥料,かがくひりょう
化学物質,かがくぶっしつ
化学兵器,かがくへいき
化学療法,かがくりょうほう
輝かしい,かがや
書き入れ,かきい
書き言葉,かきことば
書き込み,かきこみ
書き初め,かきぞめ
書き出し,かきだ
書き取り,かきと
書き直し,かきなお
限りない,かぎ
各種学校,かくしゅがっこう
拡大均衡,かくだいきんこう
掛け合い,かけあ
掛け合う,かけあう
駆け落ち,かけお
駆け込み,かけこ
掛け捨て,かけす
駆け出し,かけだ
駆け引き,かけひ
掛け持ち,かけも
影の内閣,かげのないかく
火災保険,かさいほけん
飾り付け,かざりつ
貸し借り,かしか
貸し切り,かしき
貸し倒れ,かしだお
過失致死,かしつちし
過少申告,かしょうしんこく
過小評価,かしょうひょうか
菓子パン,かし
数少ない,かずすく
風当たり,かぜあ
仮想敵国,かそうてきこく
家族計画,かぞくけいかく
家族制度,かぞくせいど
堅苦しい,かたくる
肩透かし,かたす
語り合う,かたりあ
語り継ぐ,かたりつ
勝ち越し,かちこ
価値判断,かちはんだん
勝ち負け,かちま
花鳥風月,かちょうふうげつ
格好いい,かっこ
家庭教師,かていきょうし
仮名遣い,かなづか
必ずしも,かならず
敵わない,かなわ
兼ね合い,かねあ
株式会社,かぶしきがいしゃ
株式市場,かぶしきしじょう
貨幣価値,かへいかち
噛み付く,かみつ
絡み合う,からみあ
借り入れ,かりい
刈り入れ,かりい
借り換え,かりか
仮差押え,かりさしおさ
刈り取り,かりと
軽々しい,かるがるし
軽はずみ,かる
辛うじて,かろうじて
為替管理,かわせかんり
為替銀行,かわせぎんこう
為替相場,かわせそうば
変わった,か
変わり種,かわりだね
変わり身,かわりみ
変わり目,かわりめ
変わり者,かわりもの
簡易保険,かんいほけん
感慨無量,かんがいむりょう
環境衛生,かんきょうえいせい
環境保護,かんきょうほご
環境問題,かんきょうもんだい
管弦楽団,かんげんがくだん
冠婚葬祭,かんこんそうさい
緩衝地帯,かんしょうちたい
間接選挙,かんせつせんきょ
完全雇用,かんぜんこよう
完全試合,かんぜんじあい
勧善懲悪,かんぜんちょうあく
環太平洋,かんたいへいよう
官房長官,かんぼうちょうかん
寒冷前線,かんれいぜんせん
漢和辞典,かんわじてん
外郭団体,がいかくだんたい
外交辞令,がいこうじれい
街頭募金,がいとうぼきん
学術会議,がくじゅつかいぎ
学生時代,がくせいじだい
額面割れ,がくめんわれ
学校法人,がっこうほうじん
合従連衡,がっしょうれんこう
頑として,がん
頑張って,がんば
器械体操,きかいたいそう
期間限定,きかんげんてい
気管支炎,きかんしえん
気がかり,きがかり
聞き書き,ききがき
聞き込み,ききこみ
聞き上手,ききじょうず
聞き取り,ききと
起死回生,きしかいせい
鬼子母神,きしもじん
基軸通貨,きじくつうか
既成概念,きせいがいねん
既成事実,きせいじじつ
期成同盟,きせいどうめい
競い合う,きそいあ
奇想天外,きそうてんがい
基礎控除,きそこうじょ
起訴猶予,きそゆうよ
切っ掛け,きっか
喜怒哀楽,きどあいら
気に入り,きにい
気のせい,き
寄付行為,きふこうい
気分転換,きぶんてんかん
基本料金,きほんりょうきん
気まぐれ,き
決まり手,きまりて
機密保護,きみつほご
気難しい,きむずか
救急医療,きゅうきゅういりょう
休憩時間,きゅうけいじかん
急転直下,きゅうてんちょっか
急ピッチ,きゅうピッチ
競合他社,きょうごうたしゃ
共産主義,きょうさんしゅぎ
教条主義,きょうじょうしゅぎ
競争入札,きょうそうにゅうさつ
協同組合,きょうどうくみあい
共同募金,きょうどうぼきん
強迫観念,きょうはくかんねん
興味津々,きょうみしんしん
興味深い,きょうみぶか
虚々実々,きょきょじつじつ
拒絶反応,きょぜつはんのう
煌びやか,きらびやか
切り上げ,きりあ
切り売り,きりう
切り替え,きりか
切り返し,きりかえ
切り込み,きりこ
切り下げ,きりさ
切り捨て,きりす
切り立つ,きりた
切り出し,きりだ
切り詰め,きりつ
切り取り,きりと
切り抜き,きりぬ
切り貼り,きりば
切り開き,きりひら
切り干し,きりぼ
切り盛り,きりも
切れ込み,きれこ
極め付き,きわめつ
金科玉条,きんかぎょくじょう
謹賀新年,きんがしんねん
禁止事項,きんしじこう
勤務時間,きんむじかん
金融機関,きんゆうきかん
金融市場,きんゆうしじょう
議会主義,ぎかいしゅぎ
議会政治,ぎかいせいじ
疑心暗鬼,ぎしんあんき
義務教育,ぎむきょういく
義務付け,ぎむづ
逆転勝ち,ぎゃくてんが
行政機関,ぎょうせいきかん
行政書士,ぎょうせいしょし
行政処分,ぎょうせいしょぶん
