伯	はく	count, earl, chief official of the Department of Worship (under the ritsuryō system), Brazil	noun	
佃	つくだ	cultivated rice field	noun	
位	い	rank, place (e.g. first place), decimal place, counter for ghosts	counter	
位	くらい	throne, crown, (noblemans) seat, government position, court rank, social standing, rank, class, echelon, rung, grade (of quality, etc.), level, tier, rank, position of a figure (e.g. tens, thousands), digit, (decimal) place, degree, extent, amount	adverb|n3|noun	
住	じゅう	dwelling, living	n1|noun	
体	からだ	body, torso, trunk, build, physique, frame, figure, health, constitution, corpse, dead body	n5|noun	
何	なに	what, you-know-what, that thing, whatsit, whachamacallit, whats-his-name, whats-her-name, penis, (ones) thing, dick, (not) at all, (not) in the slightest, what?, huh?, hey!, come on!, oh, no (its fine), why (its nothing), oh (certainly not)	adverb|colloquial|kana|n3|noun|pronoun	
何	なん	what, how many, many, a lot of, several, a few, some	noun|prefix|pronoun	
作	さく	work (e.g. of art), production, harvest, cultivation, farming, crop, yield, technique	n1|noun	
例	れい	custom, practice, habit, usual, said, aforementioned, instance, example, case, illustration, usage, precedent	adjective|n3|noun|taking の	
侍	さむらい	warrior (esp. of military retainers of daimyos in the Edo period), samurai, man in attendance (on a person of high standing), retainer	n1|noun	
供	とも	companion, follower, attendant, retinue	n1|noun|taking する	
侯	こう	marquis, second highest rank of the five ranks of nobility, daimyo	noun	
便	びん	flight (e.g. airline flight), trip (e.g. train trip), service, mail, post, letter, opportunity, chance	n3|noun	
係	かかり	charge, duty, person in charge, official, clerk, connection, linking	n3|noun	
俄	にわか	sudden, abrupt, unexpected, improvised, hasty, offhand, impromptu skit, bandwagon fan, fair-weather fan	adjective|kana|n2|noun|slang|taking の|な adjective	
俗	ぞく	layman (esp. as opposed to a Buddhist monk), laity, man of the world, the world, local manners, modern customs, common, popular, vulgar, low	adjective|noun|taking の|な adjective	
信	しん	honesty, sincerity, fidelity, trust, reliance, confidence, (religious) faith, devotion, counter for received messages	counter|noun	
俵	たわら	straw bag, sack, bale, counter for sacks (of rice, potatoes, coal, etc.)	counter|noun	
俺	おれ	I, me	male term|n1|noun|pronoun	
個	こ	counter for articles, counter for military units, individual	counter	
倍	ばい	double, twice (as much), times (as much), -fold, 1-nth, 1 to n, 1 in n	adjective|counter|n4|noun|taking の	
値	あたい	price, cost, value, worth, merit, value	computing|n1|noun	
偉	い	greatness	adjective|noun|な adjective	
偖	さて	well, now, then	conjunction|kana|n3	
側	がわ	side (of something, or taking someones side), part, (watch) case	n1|noun|suffix	
側	そば	near, close, beside, vicinity, proximity, besides, while, third person	kana|n5|noun	
偽	にせ	imitation, fake, phony, counterfeit, forged, bogus, sham, pseudo-	adjective|noun|prefix|taking の	
傘	かさ	umbrella, parasol, something shaped like an umbrella or a conical hat, shade (of a lamp), mushroom cap, pileus	n5|noun	
債	さい	debt, loan	noun	
傷	きず	wound, injury, cut, gash, bruise, scratch, scrape, scar, chip, crack, scratch, nick, flaw, defect, weakness, weak point, stain (on ones reputation), disgrace, dishonor, dishonour, (emotional) hurt, hurt feelings	n3|noun	
像	ぞう	image, figure, statue, picture, portrait, figure, form, shape, appearance, image	n1|noun	
僕	ぼく	I, me, you, manservant	male term|n4|noun|pronoun	
僧	そう	monk, priest, sangha (the Buddhist community)	n1|noun	
儀	ぎ	ceremony, matter, affair, case, with regard to, as for, as concerns	noun|suffix	
億	おく	10^8, 100,000,000, hundred million	n4|numeric	
儘	まま	as (it is), remaining (in a state), keeping (the same), leaving (unchanged), with (e.g. ones eyes closed, the light on), while (e.g. standing, alive), as, as (one pleases, one is told, etc.), according to, sic	adverb|kana|noun	
元	もと	origin, source, base, basis, foundation, root, cause, ingredient, material, base, mix, stock, (someones) side, (someones) location, original cost (or capital, principal, etc.), (plant) root, (tree) trunk, first section of a waka, counter for blades of grass, tree trunks, etc., and for falcons (in falconry), handle (chopsticks, brush, etc.), grip	counter|n3|noun	
兄	あに	older brother, elder brother	n5|noun	
兆	ちょう	10^12, 1,000,000,000,000, trillion, sign, omen, indication, portent	n1|noun|numeric	
先	さき	point, tip, end, nozzle, head (of a line), front, first, before, ahead (of), (the way) ahead, beyond, future, previous, prior, former, recent, last, destination, address, place where you do something, rest (e.g. of a story), continuation, remaining part, the other party	adjective|n5|noun|taking の	
先	さっき	a short while ago, a moment ago, just now, some time ago	adverb|kana|n4|noun	
光	ひかり	light, illumination, ray, beam, gleam, glow, happiness, hope, influence, power, vision, eyesight, optical fiber, optical fibre	n4|noun	
免	めん	dismissal, discharge	noun	
兎	うさぎ	rabbit, hare, coney, cony, lagomorph (esp. leporids)	kana|n3|noun	
党	とう	party (political), person who is fond of, fan of	n3|noun	
兜	かぶと	helmet (of a warrior), headpiece	noun	
全	ぜん	all, whole, entire, complete, total, pan-, complete (set), in total	noun|prefix	
八	はち	eight, 8	n5|numeric	
公	おおやけ	official, governmental, formal, public (use, matter, forum, etc.), common, being public knowledge, being out in the open, exposure to public view	adjective|n1|noun|taking の	
六	ろく	six, 6	n5|numeric	
共	とも	together with, same, both, all, neither, none, including ...	kana|noun|suffix	
共	ども	first-person plural (or singular), second or third person plural (implies speaker is of higher status than those referred to)	derogatory|humble|kana|suffix	
兵	へい	(common) soldier, rank and file, army, troops, warfare, strategy	noun	
具	ぐ	tool, means, ingredients (added to soup, rice, etc.), counter for sets of armor, utensils, furniture, etc.	counter|noun	
兼	けん	cum (e.g. bedroom-cum-study), and (concurrently; e.g. chauffeur and secretary), in addition to, at the same time	conjunction	
内	うち	inside, within, while (e.g. one is young), during, within (e.g. a day), in the course of, among, amongst, (out) of, between, in (secret, chaos, poverty, etc.), amidst, with (e.g. success), within oneself, ones feelings, inner thoughts, we, our company, our organization, ones home, ones family, my spouse, my husband, my wife, signed on behalf of (husbands name) by his wife, I, me, imperial palace grounds, emperor	adverb|kana|n4|noun|pronoun	
内	ない	within ..., inside ...	suffix	
円	えん	yen (Japanese monetary unit), circle	n3|noun	
冊	さつ	counter for books, volume	counter|n1|noun	
再	さい	re-, again, repeated, deutero-, deuto-, deuter-	n1|prefix	
冠	かんむり	traditional cap worn by Shinto clergy and courtiers, crown, diadem, coronet, top kanji radical, first verse of a haikai, etc., best, peerless, first, name, title, named sponsorship of a program, event, team, etc.	adjective|n2|noun|taking と	
冤	えん	false charge, false accusation	noun	
冬	ふゆ	winter	adverb|n5|noun	
凛	りん	cold, frigid, bracing, dignified, distinguished, refined, elegant, (of an atmosphere) tense, nerve-racking, (of voice, sound, etc) clear, ringing	adjective|taking と	
凡	ぼん	ordinary, common, mediocre	adjective|noun|な adjective	
凧	たこ	kite	noun	
凶	きょう	bad luck, bad fortune, evil, wickedness	noun	
出	で	coming out, going out, outflow, efflux, rising (of the Sun or the Moon), attending (work), appearing (on stage), ones turn to go on, start, beginning, origins, background, person (or item) originating from ..., graduate of ..., native of ..., member of ... (lineage), architectural member that projects outward, highest point of the stern of a ship, amount (comprising something), amount of time or effort required to do something	kana|noun	
刀	かたな	sword (esp. Japanese single-edged), katana, scalpel, chisel, burin, graver, knife money (knife-shaped commodity money used in ancient China)	n3|noun	
刃	は	edge (of a knife or sword), blade, prong (of an electrical plug)	n1|noun	
分	ふん	minute (unit of time), fun (one tenth of a monme, 5.787 grains)	n1|noun	
分	ぶん	part, portion, share, amount, worth (as in two days worth), enough (for), ones means, ones place, ones lot, ones social position, ones duty, ones part, condition, state (of affairs), extent, rate (as in at this rate), in proportion to, just as much as, to the same degree, content (e.g. alcohol), percentage, equivalent to (e.g. an old brother)	adverb|n3|noun	
切	せつ	eager, earnest, ardent, kind, keen, acute, OFF (on switch)	adjective|noun|な adjective	
刑	けい	penalty, sentence, punishment	n1|noun	
列	れつ	row, line, file, column, queue, rank, procession, company (of someone), group, ranks, sequence, counter for rows	counter|n3|noun	
初	はつ	first, new	adjective|n1|noun|taking の	
判	はん	seal, stamp, monogram signature, judgment, judgement, size (of paper or books)	n1|noun	
別	べつ	distinction, difference, discrimination, separate, different, another, extra, exception, exclusion, classified by, ranked by, according to	adjective|n4|noun|taking の|な adjective	
利	り	advantage, benefit, profit, interest	noun	
制	せい	system, organization, organisation, imperial command, laws, regulation, control, government, suppression, restraint, holding back, establishment	n1|noun	
券	けん	ticket, coupon, bond, certificate	n3|noun	
刺	とげ	thorn, spine, prickle, splinter (esp. lodged in ones flesh), hard sharp item (esp. lodged in ones throat, e.g. fish bone), biting words	n1|noun	
刻	こく	period of time (usu. a period of approx. two hours corresponding to one of the signs of the Chinese zodiac), carving, engraving, cutting, mincing, victory, strictness, cruelty	noun	
前	ぜん	last (i.e. immediately preceding), previous, ex-, former, pre- (e.g. premodern), before, before, earlier	adverb|noun	
前	まえ	in front (of), before (e.g. a building), before, earlier, previously, prior, ago, (minutes) to (the hour), (the) front, frontal part, fore, head (e.g. of a line), forward, ahead, (in the) presence (of), in front (of someone), previous (e.g. page), prior (e.g. engagement), first (e.g. half), former (e.g. example), portion, helping, front (of ones body or clothing), breast (of a coat, kimono, etc.), privates, private parts, criminal record, previous conviction, (a) prior	adjective|adverb|colloquial|n5|noun|suffix|taking の	
剣	けん	sword (esp. a large, double-edged one), blade, bayonet, swordsmanship, stinger, ovipositor, dart	noun	
副	ふく	assistant, associate, vice-, sub-, deputy, substitute, auxiliary, supplementary, additional, collateral, duplicate, copy, adverb	noun|prefix	
劇	げき	drama, play, powerful drug	n3|noun	
力	ちから	force, strength, might, vigour, vigor, energy, capability, ability, proficiency, capacity, faculty, efficacy, effect, effort, endeavours, endeavors, exertions, power, authority, influence, good offices, agency, support, help, aid, assistance, stress, emphasis, means, resources	n4|noun	
力	りょく	strength, power, proficiency, ability	suffix	
加	か	addition, Canada	noun	
労	ろう	labor, labour, toil, trouble, pains, work, effort, striving	noun	
効	こう	efficacy, benefit, efficiency, effect, result, success	noun	
勇	ゆう	bravery, courage, heroism	noun	
動	どう	motion	noun	
勘	かん	perception, intuition, the sixth sense	n3|noun	
北	きた	north, the North, northern territories, North Korea, north wind	n5|noun	
匙	さじ	spoon	kana|n2|noun	
匠	たくみ	craftsman, artisan, workman, carpenter, craft, craftsmanship, skill, dexterity, design, plot, scheme, artifice, trick	noun	
匹	ひき	counter for small animals, counter for rolls of cloth (two han in size), counter for horses, roll of cloth	counter|n1|noun	
区	く	ward, borough, city (in Tokyo), district (e.g. electoral), section, zone (e.g. postal)	n1|noun	
医	い	medicine, the healing art, healing, curing, doctor	noun	
十	じゅう	ten, 10, ten years of age, book containing a collection of poems	n3|noun|numeric	
千	せん	1,000, thousand	n5|numeric	
升	ます	measuring container, measure, box (seating at a theatre, etc.), square on a grid, cell of a grid, square bearing block (at the top of a pillar)	noun	
午	うま	the Horse (seventh sign of the Chinese zodiac), hour of the Horse (around noon, 11am-1pm, or 12 noon-2pm), south, fifth month of the lunar calendar	noun	
半	はん	half, semi-, half-past, odd number, han (unit of land area, approx. 595.8 m^2)	n5|noun	
卓	たく	table, desk, counter for tables, desks, etc., offering table before an altar (sometimes used in tea ceremony), tabletop incense burner	counter|noun	
南	みなみ	south	n5|noun	
単	たん	single, simple, singles (tennis, badminton, etc.), win bet (bet which predicts the winner of a race)	noun|prefix	
博	はく	doctor, PhD, exposition, fair, exhibition	noun	
卯	う	the Rabbit (fourth sign of the Chinese zodiac), the Hare, hour of the Rabbit (around 6am, 5-7am, or 6-8am), east, second month in the lunar calendar	n1|noun	
印	しるし	mark, sign, symbol, emblem, badge, crest, flag, evidence, proof, token (of gratitude, affection, etc.)	kana|n3|noun	
卵	たまご	eggs, egg, spawn, roe, (hens) egg, (an expert) in the making, beginning, origin, infancy	n5|noun	
卸	おろし	wholesale	noun	
卿	きょう	Lord, Sir, state minister (under the ritsuryō system), you (in reference to someone of lower status)	honorific|male term|noun|pronoun|suffix	
厄	やく	misfortune, bad luck, evil, disaster, unlucky year, critical year, smallpox	noun	
厘	りん	one-hundredth, 0.3 mm (one-hundredth of a sun), 0.1 percent (one-hundredth of a wari), 0.0375 grams (one-hundredth of a monme), rin (monetary unit; 0.001 yen)	noun|numeric	
原	はら	field, plain, prairie, tundra, moor, wilderness	n3|noun	
又	また	again, once more, once again, another time, some other time, also, too, as well, likewise, on the other hand, while, and, in addition, besides, moreover, furthermore, or, otherwise, really, how, (what, why) on earth, indirect	adverb|conjunction|kana|n5|prefix	
友	とも	friend, companion, comrade, pal, accompaniment, companion (e.g. book), complement, accessory	n3|noun	
双	そう	pair	counter|noun	
反	はん	anti-, antithesis, fanqie, traditional Chinese spelling system in which two characters are used: the first one for the onset, the second one for rhyme and tone	noun|prefix	
口	くち	mouth, opening, hole, gap, orifice, mouth (of a bottle), spout, nozzle, mouthpiece, gate, door, entrance, exit, speaking, speech, talk (i.e. gossip), taste, palate, mouth (to feed), opening (i.e. vacancy), available position, invitation, summons, kind, sort, type, opening (i.e. beginning), counter for mouthfuls, shares (of money), stove burners, and swords	counter|n5|noun|suffix	
古	いにしえ	antiquity, ancient times	n1|noun	
句	く	section (i.e. of text), sentence, passage, paragraph, phrase, verse (of 5 or 7 mora in Japanese poetry; of 4, 5, or 7 characters in Chinese poetry), haiku, first 17 morae of a renga, etc., maxim, saying, idiom, expression	n3|noun	
只	ただ	ordinary, common, usual, free of charge, unaffected, as is, safe, only, merely, just, simply, but, however, nevertheless	adjective|adverb|conjunction|kana|n3|noun|taking の	
可	か	acceptable, satisfactory, allowed, permitted, approval, being in favour, (a) vote in favour, aye, Pass (grade), Fair, C, D	n3|noun	
台	だい	stand, rack, table, bench, podium, pedestal, platform, stage, support, holder, rack, counter for machines, incl. vehicles, setting (e.g. in jewellery), level (e.g. price level), range (e.g. after physical units), period (of time, e.g. a decade of ones life), elevated area, viewing platform, dish tray, meal, tall building, tower	counter|n3|noun	
史	し	history	noun	
右	みぎ	right, right-hand side, afore-mentioned (esp. in vertical Japanese writing), foregoing, forgoing, above	adjective|n5|noun|taking の	
号	ごう	number, edition, make, model, issue, part of that group, sobriquet, pen-name, size (of printing types, canvases, knitting needles, etc.), suffix attached to names of ships, trains, airplanes, etc.	n1|noun|suffix	
各	かく	each, every, all	prefix	
合	ごう	gō, traditional unit of volume, approx. 0.1804 litres, gō, traditional unit of area, approx 0.33 metres square, one-tenth of the way from the base to the summit of a mountain, conjunction, sum, total, synthesis (in dialectics), minor premise (in hetuvidya), counter for covered containers, counter for matches, battles, etc.	counter|noun	
吋	インチ	inch	kana|noun	
同	どう	the same, the said, likewise	n1|prefix	
名	な	name, given name, title, fame, renown, reputation, pretext, pretense, justification, appearance	n3|noun	
后	きさき	empress, queen	noun	
君	きみ	you, buddy, pal, monarch, ruler, sovereign, (ones) master, he, she	familiar language|noun|polite|pronoun	
君	くん	Mr (junior), master, boy	n4|suffix	
否	いな	no, nay, disagreement, objection, disapproval	formal|noun	
否	いや	no	kana	
否	ひ	no, the noes	noun	
听	ポンド	pound (unit of weight), pound (currency), pound sterling	kana|noun	
味	あじ	flavor, flavour, taste, charm, appeal, uniqueness, attractiveness, experience, taste (e.g. of victory), smart, clever, witty, strange	adjective|n4|noun|な adjective	
命	いのち	life, life force, lifetime, lifespan, most important thing, foundation, core, paired tattoos of the life kanji on the upper arms of a man and woman (indicating unwavering love), fate, destiny, karma	n3|noun	
和	わ	sum, harmony, peace, Japan, Japanese-style	adjective|n1|noun|taking の	
咳	せき	cough, coughing, tussis	n3|noun	
品	しな	article, item, thing, goods, stock, quality, flirtatiousness, coquetry	kana|noun	
品	ひん	elegance, grace, refinement, class, dignity, article, item, counter for items (of food, etc.), counter for dishes or courses (at a restaurant)	counter|n3|noun|suffix	
員	いん	member	n1|noun	
哩	マイル	mile	kana|noun	
唇	くちびる	lip, lips	n2|noun	
唐	とう	Tang dynasty (of China; 618-907), Tang dynasty, China, foreign country	noun	
唾	つば	saliva, spit, spittle	n1|noun	
商	しょう	quotient, business, merchant, dealer, second degree (of the Japanese and Chinese pentatonic scale), Shang dynasty (of China; approx. 1600-1046 BCE), Yin dynasty	n1|noun	
問	もん	counter for questions	counter|n1|suffix	
善	ぜん	good, goodness, right, virtue	n3|noun	
喉	のど	throat, singing voice, gutter (inner margins of a book)	kana|n3|noun	
喪	も	mourning, calamity, misfortune	adjective|noun|taking の	
嗽	うがい	gargling, rinsing ones mouth	intransitive verb|kana|n3|noun|taking する|transitive verb	
嘘	うそ	lie, fib, falsehood, untruth, mistake, error, unwise move, bad decision, no way!, unbelievable!, really?!	adjective|colloquial|n3|noun|taking の	
嘴	くちばし	beak, bill	kana|n1|noun	
嘸	さぞ	surely, certainly, no doubt, must	adverb|kana|n1	
噂	うわさ	rumour, rumor, report, hearsay, gossip, common talk	adjective|n3|noun|taking する|taking の	
器	うつわ	bowl, vessel, container, ability, capacity, calibre, caliber	n1|noun	
嚏	くしゃみ	sneeze, spoken twice in response to someone sneezing as a charm against an early death	expression|idiom|kana|n2|noun	
四	し	four, 4	n3|numeric	
回	かい	counter for occurrences, a time, an instance, inning (baseball), round, game, episode, chapter, instalment, Hui (people), Islam	colloquial|counter|n3|noun	
因	いん	cause, factor, hetu (direct cause, esp. as opposed to indirect conditions), the basis of ones argument (in hetuvidya)	noun	
図	ず	drawing, picture, diagram, figure, illustration, chart, graph, map, sight, scene	n3|noun	
国	くに	country, state, region, national government, central government, home (i.e. hometown, home country), province (of Japan), land, earth	n5|noun	
園	えん	garden, orchard, park, plantation, kindergarten, nursery school, preschool	noun	
園	その	garden, orchard, park, place, world, environment	n1|noun	
