新型コロナウイルス感染症,しんがたコロナウイルスかんせんしょう
威張りくさろ,いばりくさ
学習指導要領,がくしゅうしどうようりょう
寄り合い所帯,よりあいじょたい
小売物価指数,こうりぶっかしすう
引っ込み思案,ひっこみじあん
役に立たない,やくにたたな
必死になって,ひっし
思いがけない,お
思いとどまっ,おもいとどま
思いとどまら,おもいとどま
思いとどまり,おもいとどま
思いとどまる,おもいとどま
思いとどまれ,おもいとどま
思いとどまろ,おもいとどま
手っ取り早い,てっとりばやい
手当たり次第,てあたりしだい
打ち上げ花火,うちあげはなび
折り返し運転,おりかえしうんてん
押しかけ女房,おしかけにょうぼう
持ち回り閣議,もちまわりかくぎ
持っていおう,もってい
数え切れない,かぞえき
日本学術会議,にほんがくじゅつかいぎ
曲がりくねっ,まがり
曲がりくねら,まがり
曲がりくねり,まがり
曲がりくねる,まがり
曲がりくねれ,まがり
曲がりくねろ,まがり
根掘り葉掘り,ねほりはほ
泣きじゃくっ,なきじゃく
泣きじゃくら,なきじゃく
泣きじゃくり,なきじゃく
泣きじゃくる,なきじゃく
泣きじゃくれ,なきじゃく
泣きじゃくろ,なきじゃく
浮かばれない,うかばれない
煮え切らない,にえきらない
畏まりました,かしこ
目まぐるしい,め
目覚まし時計,めざましどけい
省エネルギー,しょうエネルギー
知っての通り,しってのとお
知らず知らず,しらずしらず
移動性高気圧,いどうせいこうきあつ
立ちはだかっ,たちはだか
立ちはだから,たちはだか
立ちはだかり,たちはだか
立ちはだかる,たちはだか
立ちはだかれ,たちはだか
立ちはだかろ,たちはだか
立ち入り禁止,たちいりきんし
統合幕僚会議,とうごうばくりょうかいぎ
緊急事態宣言,きんきゅうじたいせんげん
繰り出し梯子,くりだしはしご
聞き込み捜査,ききこみそうさ
肢体不自由児,したいふじゆうじ
若しかしたら,もしかしたら
若しかすると,もしかすると
落ち着き払う,おちつきはらう
見せびらかさ,みせびらか
見せびらかし,みせびらか
見せびらかす,みせびらか
見せびらかせ,みせびらか
見せびらかそ,みせびらか
見っとも無い,みっともない
見当たらない,みあたらない
観光スポット,かんこうスポット
言いようがな,い
言い出しっぺ,いいだしっぺ
言うまでもな,い
計り知れない,はかりしれない
詠み人知らず,よみびとしらず
農業協同組合,のうぎょうきょうどうくみあい
門戸開放政策,もんこかいほうせいさく
隠し引き出し,かくしひきだし
風邪をひおう,かぜをひ
食らいつおう,くらいつ
馴れ馴れしい,なれなれしい
駆け付け三杯,かけつけさんばい
高等専門学校,こうとうせんもんがっこう
あり得ない,ありえ
ある意味で,あるいみで
いつも通り,いつもどお
おせち料理,おせちりょうり
お久しぶり,おひさしぶり
お医者さん,おいしゃさん
お好み焼き,おこのみやき
お婆ちゃん,おばあ
お巡りさん,おまわりさん
お持て成し,おもてなし
お気に入り,おきにい
お目出度う,おめでと
お祖母さん,おばあ
お祖父さん,おじいさん
お祭り騒ぎ,おまつりさわぎ
お見積もり,おみつ
かけ離れさ,かけはな
かけ離れず,かけはな
かけ離れた,かけはな
かけ離れて,かけはな
かけ離れな,かけはな
かけ離れま,かけはな
かけ離れよ,かけはな
かけ離れら,かけはな
かけ離れる,かけはな
かけ離れろ,かけはな
くっ付おう,くっつ
くっ付けさ,くっつ
くっ付けず,くっつ
くっ付けた,くっつ
くっ付けて,くっつ
くっ付けな,くっつ
くっ付けま,くっつ
くっ付けよ,くっつ
くっ付けら,くっつ
くっ付ける,くっつ
くっ付けろ,くっつ
こみ上げさ,こみあ
こみ上げず,こみあ
こみ上げた,こみあ
こみ上げて,こみあ
こみ上げな,こみあ
こみ上げま,こみあ
こみ上げよ,こみあ
こみ上げら,こみあ
こみ上げる,こみあ
こみ上げろ,こみあ
じゃ無いか,じゃな
たどり着い,たどりつ
たどり着え,たどりつ
たどり着か,たどりつ
たどり着き,たどりつ
たどり着く,たどりつ
たどり着け,たどりつ
だらし無い,だらしな
ついて行い,い
ついて行え,い
ついて行か,い
ついて行き,い
ついて行く,い
ついて行け,い
では無いか,ではな
とんでも無,な
どうでも良,よ
ばら撒おう,ま
びしょ濡れ,びしょぬ
ぶっきら棒,ぶっきらぼう
ぶら下がっ,さが
ぶら下がら,さが
ぶら下がり,さが
ぶら下がる,さが
ぶら下がれ,さが
ぶら下がろ,さが
ぶら下げさ,ぶらさ
ぶら下げず,ぶらさ
ぶら下げた,ぶらさ
ぶら下げて,ぶらさ
ぶら下げな,ぶらさ
ぶら下げま,ぶらさ
ぶら下げよ,ぶらさ
ぶら下げら,ぶらさ
ぶら下げる,ぶらさ
ぶら下げろ,ぶらさ
ほうれん草,ほうれんそう
ほんの少し,ほんのすこ
までも無い,までもな
みじん切り,みじんぎ
めぐり合い,めぐりあ
めぐり合う,めぐりあ
めぐり合え,めぐりあ
めぐり合お,めぐりあ
めぐり合っ,めぐりあ
めぐり合わ,めぐりあ
やむを得な,え
やり切れな,き
やり過ごさ,やわす
やり過ごし,やわす
やり過ごす,やわす
やり過ごせ,やわす
やり過ごそ,やわす
アキレス腱,アキレスけん
アルカリ性,アルカリせい
イスラム教,イスラムきょう
ウォール街,ウォールがい
オリーブ色,オリーブいろ
オレンジ色,オレンジいろ
オープン戦,オープンせん
ガラス張り,ガラスば
キリスト教,キリストきょう
クラブ活動,クラブかつどう
サイン入り,サインい
サハラ砂漠,サハラさばく
サービス業,サービスぎょう
シャボン玉,シャボンだま
ジェット機,ジェットき
スペイン語,スペインご
スワヒリ語,スワヒリご
セーラー服,セーラーふく
タンパク質,タンパクしつ
テレビ番組,テレビばんぐみ
データ通信,データつうしん
ノーベル賞,ノーベルしょう
ハンセン病,ハンセンびょう
バベルの塔,バベルのとう
バンタム級,バンタムきゅう
フランス語,フランスご
ブラウン管,ブラウンかん
メキシコ湾,メキシコわん
ロケット弾,ロケットだん
一人ぼっち,ひとり
一人暮らし,ひとりぐ
一酸化炭素,いっさんかたんそ
上げ下ろし,あげお
上手く行く,うまくいく
下請け業者,したうけぎょうしゃ
不在者投票,ふざいしゃとうひょう
不渡り手形,ふわたりてがた
不行き届き,ふゆきとどき
世間知らず,せけんしらず
中間配当額,ちゅうかんはいとうがく
二百二十日,にひゃくはつか
二酸化炭素,にさんかたんそ
二重価格制,にじゅうかかくせい
井戸端会議,いどばたかいぎ
人付き合い,ひとづきあ
人形浄瑠璃,にんぎょうじょうるり
人間ドック,にんげん
今日この頃,きょうこのごろ
仕方がない,しかたがない
仕様がない,しょう
企画します,きかく
会社更生法,かいしゃこうせいほう
会計検査院,かいけいけんさいん
似つかわし,に
似合わしい,にあ
位置付けさ,いちづ
位置付けず,いちづ
位置付けた,いちづ
位置付けて,いちづ
位置付けな,いちづ
位置付けま,いちづ
位置付けよ,いちづ
位置付けら,いちづ
位置付ける,いちづ
位置付けろ,いちづ
何だかんだ,なん
何と言うか,なんとい
何を隠そう,なにをかく
何処にもな,どこいな
何処までも,どこ
何故ならば,なぜ
何時に無く,いつになく
何時までも,いつまでも
使いこなさ,つかいこな
使いこなし,つかいこな
使いこなす,つかいこな
使いこなせ,つかいこな
使いこなそ,つかいこな
依然として,いぜんとして
働きかけさ,はたらきか
働きかけず,はたらきか
働きかけた,はたらきか
働きかけて,はたらきか
働きかけな,はたらきか
働きかけま,はたらきか
働きかけよ,はたらきか
働きかけら,はたらきか
働きかける,はたらきか
働きかけろ,はたらきか
優生保護法,ゆうせいほごほう
入れ替わり,いれか
入国管理局,にゅうこくかんりきょく
八つ当たり,やつあ
公安委員会,こうあんいいんかい
公安調査庁,こうあんちょうさちょう
公式サイト,こうしきサイト
公認会計士,こうにんかいけいし
内閣法制局,ないかくほうせいきょく
再スタート,さいスタート
出来るだけ,でき
出来上がっ,できあが
出来上がら,できあが
出来上がり,できあが
出来上がる,できあが
出来上がれ,できあが
出来上がろ,できあが
分からず屋,わからずや
分かりにく,わ
切りがない,きりが
切り立った,きりた
切羽詰まっ,せっぱつま
切羽詰まら,せっぱつま
切羽詰まり,せっぱつま
切羽詰まる,せっぱつま
切羽詰まれ,せっぱつま
切羽詰まろ,せっぱつま
初めまして,はじ
初顔合わせ,はつかおあわせ
前方後円墳,ぜんぽうこうえんふん
割り引き券,わりびきけん
力いっぱい,ちから
労働基準局,ろうどうきじゅんきょく
労働基準法,ろうどうきじゅんほう
労働委員会,ろうどういいんかい
勝ち名乗り,かちなのり
勝手気まま,かってき
化学調味料,かがくちょうみりょう
北アメリカ,きた
千九百年代,せんきゅうひゃくねんだい
南アフリカ,みなみ
印度尼西亜,インドネシア
印象付けさ,いんしょうづ
印象付けず,いんしょうづ
印象付けた,いんしょうづ
印象付けて,いんしょうづ
印象付けな,いんしょうづ
印象付けま,いんしょうづ
印象付けよ,いんしょうづ
印象付けら,いんしょうづ
印象付ける,いんしょうづ
印象付けろ,いんしょうづ
危なげない,あぶなげ
危なっかし,あぶ
厚かましい,あつ
取りあえず,と
取りこぼさ,とりこぼ
取りこぼし,とりこぼ
取りこぼす,とりこぼ
取りこぼせ,とりこぼ
取りこぼそ,とりこぼ
取り締まり,とりし
取り計らい,とりはか
古めかしい,ふる
可愛らしい,かわい
可能性が高,かのうせいたか
右クリック,みぎクリック
司法研修所,しほうけんしゅうじょ
名残惜しい,なごりお
向かい合う,むかいあ
向かって左,むかってひだり
吹き溜まり,ふきだ
呉れ呉れも,くれぐれも
呼びかけさ,よびか
呼びかけず,よびか
呼びかけた,よびか
呼びかけて,よびか
呼びかけな,よびか
呼びかけま,よびか
呼びかけよ,よびか
呼びかけら,よびか
呼びかける,よびか
呼びかけろ,よびか
命からがら,いのちからがら
商工会議所,しょうこうかいぎしょ
問いかけさ,といか
問いかけず,といか
問いかけた,といか
問いかけて,といか
問いかけな,といか
問いかけま,といか
問いかけよ,といか
問いかけら,といか
問いかける,といか
問いかけろ,といか
問い合わせ,といあわせ
嘆かわしい,なげか
国会議事堂,こっかいぎじどう
国家公務員,こっかこうむいん
国民総生産,こくみんそうせいさん
国立博物館,こくりつはくぶつかん
地方公務員,ちほうこうむいん
地方自治体,ちほうじちたい
地方裁判所,ちほうさいばんしょ
地球温暖化,ちきゅうおんだんか
埋め合わせ,うめあわせ
埋め立て地,うめたてち
売り手市場,うりてしじょう
売り掛け金,うりかけきん
変わらない,か
大きくなっ,おおきくな
大きくなら,おおきくな
大きくなり,おおきくな
大きくなる,おおきくな
大きくなれ,おおきくな
大きくなろ,おおきくな
大人っぽい,おとなっぽい
大人になっ,おとなにな
大人になら,おとなにな
大人になり,おとなにな
大人になる,おとなにな
大人になれ,おとなにな
大人になろ,おとなにな
天然記念物,てんねんきねんぶつ
天皇誕生日,てんのうたんじょうび
太平洋戦争,たいへいようせんそう
如何しても,どう
始まらない,はじ
宇宙飛行士,うちゅうひこうし
家庭内暴力,かていないぼうりょく
家庭裁判所,かていさいばんしょ
寄せ木細工,よせぎざいく
小気味良い,こきみよ
小競り合い,こぜりあい
少なからず,すく
少なくとも,すく
尤もらしい,もっとも
居合わせさ,いあわ
居合わせず,いあわ
居合わせた,いあわ
居合わせて,いあわ
居合わせな,いあわ
居合わせま,いあわ
居合わせよ,いあわ
居合わせら,いあわ
居合わせる,いあわ
居合わせろ,いあわ
差し当たり,さしあ
差し押さえ,さしお
市営地下鉄,しえいちかてつ
市場占有率,しじょうせんゆうりつ
常任委員会,じょうにんいいんかい
引きこもり,ひ
引きつけさ,ひきつ
引きつけず,ひきつ
引きつけた,ひきつ
引きつけて,ひきつ
引きつけな,ひきつ
引きつけま,ひきつ
引きつけよ,ひきつ
引きつけら,ひきつ
引きつける,ひきつ
引きつけろ,ひきつ
引き伸ばし,ひきの
引き換え券,ひきかえけん
引き落とし,ひきお
引き込み線,ひきこみせん
引っかかっ,ひっかか
引っかから,ひっかか
引っかかり,ひっかか
引っかかる,ひっかか
引っかかれ,ひっかか
引っかかろ,ひっかか
当たっては,あた
当てはまっ,あてはま
当てはまら,あてはま
当てはまり,あてはま
当てはまる,あてはま
当てはまれ,あてはま
当てはまろ,あてはま
当てはめさ,あては
当てはめず,あては
当てはめた,あては
当てはめて,あては
当てはめな,あては
当てはめま,あては
当てはめよ,あては
当てはめら,あては
当てはめる,あては
当てはめろ,あては
役に立たな,やくた
待ちかねさ,まちか
待ちかねず,まちか
待ちかねた,まちか
待ちかねて,まちか
待ちかねな,まちか
待ちかねま,まちか
待ちかねよ,まちか
待ちかねら,まちか
待ちかねる,まちか
待ちかねろ,まちか
待ちぼうけ,ま
待ちわびさ,まちわ
待ちわびず,まちわ
待ちわびた,まちわ
待ちわびて,まちわ
待ちわびな,まちわ
待ちわびま,まちわ
待ちわびよ,まちわ
待ちわびら,まちわ
待ちわびる,まちわ
待ちわびろ,まちわ
待ち合わせ,まちあ
待ち遠しい,まちどお
後ろめたい,うしろめたい
心を込めて,こころをこ
忌まわしい,いまわしい
思いがけな,おも
思いっきり,おもいっき
思いつおう,おもいつ
思い切って,おもいき
恥ずかしい,はず
悪しからず,あしからず
情報化社会,じょうほうかしゃかい
惜しみ無く,おしみなく
意味づけさ,いみづ
意味づけず,いみづ
意味づけた,いみづ
意味づけて,いみづ
意味づけな,いみづ
意味づけま,いみづ
意味づけよ,いみづ
意味づけら,いみづ
意味づける,いみづ
意味づけろ,いみづ
愛くるしい,あい
慌ただしい,あわただしい
憲法裁判所,けんぽうさいばんしょ
懲罰委員会,ちょうばついいんかい
戦争犯罪人,せんそうはんざいにん
手っ取り早,てはや
打ちのめさ,うちのめ
打ちのめし,うちのめ
打ちのめす,うちのめ
打ちのめせ,うちのめ
打ちのめそ,うちのめ
打ちまくっ,うちまく
打ちまくら,うちまく
打ちまくり,うちまく
打ちまくる,うちまく
打ちまくれ,うちまく
打ちまくろ,うちまく
打ち合わせ,うちあわせ
投げかけさ,なげか
投げかけず,なげか
投げかけた,なげか
投げかけて,なげか
投げかけな,なげか
投げかけま,なげか
投げかけよ,なげか
投げかけら,なげか
投げかける,なげか
投げかけろ,なげか
投げつけさ,なげつ
投げつけず,なげつ
投げつけた,なげつ
投げつけて,なげつ
投げつけな,なげつ
投げつけま,なげつ
投げつけよ,なげつ
投げつけら,なげつ
投げつける,なげつ
投げつけろ,なげつ
折に触れて,おりにふ
折りたたみ,おりたたみ
折り返し点,おりかえしてん
抱きしめさ,だきし
抱きしめず,だきし
抱きしめた,だきし
抱きしめて,だきし
抱きしめな,だきし
抱きしめま,だきし
抱きしめよ,だきし
抱きしめら,だきし
抱きしめる,だきし
抱きしめろ,だきし
押しかけさ,おしか
押しかけず,おしか
押しかけた,おしか
押しかけて,おしか
押しかけな,おしか
押しかけま,おしか
押しかけよ,おしか
押しかけら,おしか
押しかける,おしか
押しかけろ,おしか
押しつぶさ,おしつぶ
押しつぶし,おしつぶ
押しつぶす,おしつぶ
押しつぶせ,おしつぶ
押しつぶそ,おしつぶ
押しボタン,おしボタン
押し目買い,おしめがい
持ちかけさ,もちか
持ちかけず,もちか
持ちかけた,もちか
持ちかけて,もちか
持ちかけな,もちか
持ちかけま,もちか
持ちかけよ,もちか
持ちかけら,もちか
持ちかける,もちか
持ちかけろ,もちか
持ち合わせ,もちあ
持っていい,もってい
持っていえ,もってい
持っていか,もってい
持っていき,もってい
持っていく,もってい
持っていけ,もってい
振りかざさ,ふりかざ
振りかざし,ふりかざ
振りかざす,ふりかざ
振りかざせ,ふりかざ
振りかざそ,ふりかざ
捕らわれさ,とらわ
捕らわれず,とらわ
捕らわれた,とらわ
捕らわれて,とらわ
捕らわれな,とらわ
捕らわれま,とらわ
捕らわれよ,とらわ
捕らわれら,とらわ
捕らわれる,とらわ
捕らわれろ,とらわ
排卵誘発剤,はいらんゆうはつざい
掘り出し物,ほりだしもの
支払い方法,しはらいほうほう
支払い済み,しはらいず
教育委員会,きょういくいいんかい
数え切れな,かぞき
文部科学省,もんぶかがくしょう
日常茶飯事,にちじょうさはんじ
日焼け止め,ひやけど
旧石器時代,きゅうせっきじだい
是が非でも,ぜがひでも
時は金なり,ときはかね
暮らし向き,くらしむ
更年期障害,こうねんきしょうがい
最たるもの,さい
最大公約数,さいだいこうやくすう
最後の舞台,さいごのぶたい
最高裁判所,さいこうさいばんしょ
有って無い,あってな
有りのまま,あ
有り触れた,ありふ
有機化合物,ゆうきかごうぶつ
林業試験場,りんぎょうしけんじょう
果てしない,は
染まり具合,そまりぐあい
格安航空券,かくやすこうくうけん
極まりない,きわま
構いません,かまいません
次のように,つぎ
止めどなく,とめど
歩行者天国,ほこうしゃてんごく
歯科衛生士,しかえいせいし
死に物狂い,しにものぐる
気がつおう,き
気持ち悪い,きもちわる
気象予報士,きしょうよほうし
気遣わしい,きづかわしい
決まり文句,きまりもんく
泊まり込み,とまりこ
法務委員会,ほうむいいんかい
法律事務所,ほうりつじむしょ
泣かされさ,なかさ
泣かされず,なかさ
泣かされた,なかさ
泣かされて,なかさ
泣かされな,なかさ
泣かされま,なかさ
泣かされよ,なかさ
泣かされら,なかさ
泣かされる,なかさ
泣かされろ,なかさ
泣き寝入り,なきねい
浮かばれな,う
海上保安庁,かいじょうほあんちょう
海上自衛隊,かいじょうじえいたい
海洋気象台,かいようきしょうだい
涙ぐましい,なみだぐ
清涼飲料水,せいりょういんりょうすい
済みません,す
湯沸かし器,ゆわかしき
澄み切った,すみき
無形文化財,むけいぶんかざい
無政府主義,むせいふしゅぎ
無線ＬＡＮ,むせんラン
無過失責任,むかしつせきにん
然うすれば,そ
煮え切らな,にき
熱帯低気圧,ねったいていきあつ
片っ端から,かたっぱしから
物足りない,ものた
特別配当金,とくべつはいとうきん
独立採算制,どくりつさいさんせい
理学療法士,りがくりょうほうし
生まれつき,うまれつき
生まれ育つ,うまれそだつ
生鮮食料品,せいせんしょくりょうひん
産業スパイ,さんぎょう
申し分無い,もうしぶんな
申し合わせ,もうしあ
申し訳ない,もうしわけ
発展途上国,はってんとじょうこく
盛り上がり,もりあ
目まぐるし,め
目覚ましい,めざま
相変わらず,あいかわらず
相対性理論,そうたいせいりろん
確たる証拠,かくたるしょうこ
社会保険庁,しゃかいほけんちょう
科学技術庁,かがくぎじゅつちょう
移り変わり,うつりか
突き当たり,つきあ
突き落とし,つきお
立ち上がり,たちあ
立ち向かう,たちむ
立正佼成会,りっしょうこうせいかい
第一次産業,だいいちじさんぎょう
第三次産業,だいさんじさんぎょう
管区気象台,かんくきしょうだい
精神安定剤,せいしんあんていざい
紛らわしい,まぎ
紛れもない,まぎ
素っ気ない,そっけ
素晴らしい,すば
細かいこと,こまか
組み合わせ,くみあ
組織労働者,そしきろうどうしゃ
経済企画庁,けいざいきかくちょう
経済成長率,けいざいせいちょうりつ
経済研究所,けいざいけんきゅうしょ
結びつおう,むすびつ
絶え間なく,たえま
締め切り日,しめきりび
縫いぐるみ,ぬ
缶コーヒー,かん
義務付けさ,ぎむづ
義務付けず,ぎむづ
義務付けた,ぎむづ
義務付けて,ぎむづ
義務付けな,ぎむづ
義務付けま,ぎむづ
義務付けよ,ぎむづ
義務付けら,ぎむづ
義務付ける,ぎむづ
義務付けろ,ぎむづ
羽ばたおう,はばた
耳鼻咽喉科,じびいんこうか
職業安定所,しょくぎょうあんていじょ
背負い投げ,せおいなげ
胸突き八丁,むなつきはっちょう
腕立て伏せ,うでたてふせ
腹立たしい,はらだ
自動販売機,じどうはんばいき
自由労働者,じゆうろうどうしゃ
自賠責保険,じばいせきほけん
航空自衛隊,こうくうじえいたい
良かったら,よ
若しかして,も
落ちこぼれ,おちこぼれ
落ちぶれさ,おちぶ
落ちぶれず,おちぶ
落ちぶれた,おちぶ
落ちぶれて,おちぶ
落ちぶれな,おちぶ
落ちぶれま,おちぶ
落ちぶれよ,おちぶ
落ちぶれら,おちぶ
落ちぶれる,おちぶ
落ちぶれろ,おちぶ
落ち着いた,おちついた
行き止まり,いきど
行き詰まり,いきづ
行けません,いけません
行政管理庁,ぎょうせいかんりちょう
見ず知らず,みずし
見せつけさ,みせつ
見せつけず,みせつ
見せつけた,みせつ
見せつけて,みせつ
見せつけな,みせつ
見せつけま,みせつ
見せつけよ,みせつ
見せつけら,みせつ
見せつける,みせつ
見せつけろ,みせつ
見たところ,み
見っとも無,な
見切り発車,みきりはっしゃ
見合わせさ,みあわ
見合わせず,みあわ
見合わせた,みあわ
見合わせて,みあわ
見合わせな,みあわ
見合わせま,みあわ
見合わせよ,みあわ
見合わせら,みあわ
見合わせる,みあわ
見合わせろ,みあわ
見当たらな,みあ
解きほぐさ,ときほぐ
解きほぐし,ときほぐ
解きほぐす,ときほぐ
解きほぐせ,ときほぐ
解きほぐそ,ときほぐ
計り知れな,はかし
訳じゃない,わけ
訳ではない,わけ
詰まらせさ,つまら
詰まらせず,つまら
詰まらせた,つまら
詰まらせて,つまら
詰まらせな,つまら
詰まらせま,つまら
詰まらせよ,つまら
詰まらせら,つまら
詰まらせる,つまら
詰まらせろ,つまら
詰め合わせ,つめあ
話しかけさ,はなしか
話しかけず,はなしか
話しかけた,はなしか
話しかけて,はなしか
話しかけな,はなしか
話しかけま,はなしか
話しかけよ,はなしか
話しかけら,はなしか
話しかける,はなしか
話しかけろ,はなしか
読みにくい,よ
読み上げ算,よみあげざん
負け惜しみ,まけお
財政投融資,ざいせいとうゆうし
責任を持つ,せきにんをもつ
買い手市場,かいてしじょう
走り幅跳び,はしりはばと
走り高跳び,はしりたかと
足手まとい,あしで
跳ね上がり,はねあ
蹌踉めおう,よろ
身代金要求,みのしろきんようきゅう
身体障害者,しんたいしょうがいしゃ
身分証明書,みぶんしょうめいしょ
農林水産省,のうりんすいさんしょう
農業試験場,のうぎょうしけんじょう
追いかけさ,おいか
追いかけず,おいか
追いかけた,おいか
追いかけて,おいか
追いかけな,おいか
追いかけま,おいか
追いかけよ,おいか
追いかけら,おいか
追いかける,おいか
追いかけろ,おいか
追いつおう,おいつ
追っかけさ,おっか
追っかけず,おっか
追っかけた,おっか
追っかけて,おっか
追っかけな,おっか
追っかけま,おっか
追っかけよ,おっか
追っかけら,おっか
追っかける,おっか
追っかけろ,おっか
通りすがり,とお
通商産業省,つうしょうさんぎょうしょう
連れて行く,つれてい
連れ込み宿,つれこみやど
連係プレー,れんけい
道義的責任,どうぎてきせきにん
選りすぐり,よ
遺伝子工学,いでんしこうがく
酸化防止剤,さんかぼうしざい
重なり合う,かさなりあう
重ね合わせ,かさねあわせ
重要文化財,じゅうようぶんかざい
録音テープ,ろくおん
閉じこもっ,とじこも
閉じこもら,とじこも
閉じこもり,とじこも
閉じこもる,とじこも
閉じこもれ,とじこも
閉じこもろ,とじこも
開発途上国,かいはつとじょうこく
間に合わせ,まにあ
間違いない,まちが
防犯カメラ,ぼうはん
防衛施設庁,ぼうえいしせつちょう
降りしきっ,ふりしき
降りしきら,ふりしき
降りしきり,ふりしき
降りしきる,ふりしき
降りしきれ,ふりしき
降りしきろ,ふりしき
陸上自衛隊,りくじょうじえいたい
隣り合わせ,となりあ
電子計算機,でんしけいさんき
電子顕微鏡,でんしけんびきょう
電波望遠鏡,でんぱぼうえんきょう
面と向かう,めんとむ
面倒くさい,めんど
風邪をひい,かぜをひ
風邪をひえ,かぜをひ
風邪をひか,かぜをひ
風邪をひき,かぜをひ
風邪をひく,かぜをひ
風邪をひけ,かぜをひ
食らいつい,くらいつ
食らいつえ,くらいつ
食らいつか,くらいつ
食らいつき,くらいつ
食らいつく,くらいつ
食らいつけ,くらいつ
食わず嫌い,くわずぎら
